"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0948136119553797,-0.066386548184998,-0.0371043726864176,-0.048924858650357,-0.0671580423162734,-0.0019264643051921,-0.0371043726864176,0.185888667809138,0.0729352561146505,-0.0854207974620394,-0.0904593920325434,-0.0803477836477241,-0.0614285530231779,-0.0632866682387276,-0.0692451165673964
"peel.2",0.11178849965057,-0.106591530972457,0.942504102974487,-0.0733183048003318,-0.0837808158859886,0.157729428998731,0.942504102974487,0.363359006345935,-0.204666149206682,-0.26786252900232,-0.166949260868566,-0.0834964818598399,-0.0635732285354293,-0.0582931427534688,-0.0439527554939789
"peel.3",-0.00693702710795795,-0.0328561819388818,1.134043745856,-0.0362249630385017,0.00721418640810903,0.155305668373944,1.134043745856,-0.322658544859359,-0.334822269520776,-0.242313235298859,-0.0820904924642108,0.0121804909459497,0.0438871496426829,0.0777179290219312,0.123385037747496
"peel.4",-0.106279517508111,0.0721575536882375,-0.445270701563667,0.0273592995667294,0.0958514749316893,-0.189391370976236,-0.445270701563667,-0.214201275713105,-0.280116916097081,-0.158146143075882,0.0166698333487742,0.0912665238121611,0.15066895263863,0.190477372968935,0.247627206569208
"peel.5",-0.0818945831439689,0.0693670139893348,0.575237722360384,0.0713181661870373,0.0733031594828344,0.153132965839601,0.575237722360384,-0.00740886149523741,-0.0731729230938486,-0.00202802108268493,0.00223595540511165,0.0793507602145592,0.103707623034047,0.121613721837691,0.168959512991194
"Mohn.rho",0.00229819676918239,-0.012861938683753,0.433882099388157,-0.0119581321470847,0.00508599252407415,0.0549700455861696,0.433882099388157,0.000995798417474445,-0.163968600360748,-0.151154145184357,-0.0641186713222868,0.00379070189302119,0.0346523887513506,0.0536458425672722,0.0853547770493046
