"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0706449872525891,-0.061167423154106,-0.220436037358661,-0.0631915638119408,-0.0530644917643833,-0.126688057737287,-0.220436037358661,0.00150339956831639,-0.035320185318863,-0.129425936563966,-0.103519072837516,-0.077505215947989,-0.0445886254348746,-0.0346415922741295,-0.0276865615265618
"peel.2",0.0325700441369297,-0.0753351523866008,0.456995103127335,-0.049870581171427,-0.0298213931572333,0.117567666361572,0.456995103127335,0.100987515150911,-0.296397598370917,-0.29870147193838,-0.158023008454765,-0.0456504164984585,0.00159128425977846,0.0242299215336559,0.0628323412389556
"peel.3",-0.0782966094111231,-0.0386424069838221,0.451240047536908,-0.0867584223882307,0.0599518970956025,0.0396870410370742,0.451240047536908,-0.483385731840357,-0.423028412467419,-0.273810722887668,-0.0666526401950639,0.0608204498316398,0.11758450941098,0.170683095374425,0.244235297072286
"peel.4",-0.171861474065851,0.0678218470739451,-0.634155451367282,-0.0835128517113278,0.155594260748209,-0.43422416069646,-0.634155451367282,-0.397594095130785,-0.36286479197141,-0.175724318888854,0.0507004214258377,0.153180649270035,0.237767296643539,0.296716561742791,0.378282795586475
"peel.5",-0.129668625389878,0.0685906222201876,-0.0475031899902365,0.00684097586133854,0.116973718913669,-0.102773102477022,-0.0475031899902365,-0.279032290801578,-0.206085819900186,-0.0371187414707465,0.0241215943172994,0.134166500059978,0.185962033952241,0.221491477202566,0.309659573459529
"Mohn.rho",-0.0553223354954667,-0.00774650264607926,0.00122809438961261,-0.0552984886443176,0.0499267983671728,-0.101286122702425,0.00122809438961261,-0.211504240610699,-0.264739361605759,-0.182956238349923,-0.0506745411488415,0.0450023933430411,0.0996632997663329,0.135695892715862,0.193464689166137
