"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.125211974669279,-0.117966946547814,-0.485755527665391,-0.148906646861393,-0.095294025942736,-0.365579888349331,-0.485755527665391,-0.294459555766254,-0.25154661079886,-0.280530324324776,-0.22989621229475,-0.17464539519715,-0.120872634657473,-0.0907405652872646,-0.049391668616318
"peel.2",0.0521859382707325,-0.096029815851176,-0.198062244118548,-0.147202898846377,-0.0510823371766803,-0.285723822704894,-0.198062244118548,-0.33390140998522,-0.520225075235742,-0.480995919820116,-0.320884631332348,-0.176233999486449,-0.090537109416533,-0.0416029690818544,0.0699043174108018
"peel.3",-0.0653517732877815,-0.0315313961757665,-0.371862249493954,-0.169305543676693,0.0443988478602233,-0.454204263295018,-0.371862249493954,-0.731713465639297,-0.653207776464458,-0.497865300183985,-0.277632175445789,-0.106690657246319,-0.0086708425123839,0.0813988195726695,0.262897009968638
"peel.4",-0.20968792313185,0.131323900510849,-0.844991611916145,-0.103096961298551,0.210731385357318,-0.682017298282395,-0.844991611916145,-0.706963524409859,-0.62433787627205,-0.430763978280042,-0.17061920715301,-0.00430857296308499,0.143368498138131,0.273517642012645,0.490449624694511
"peel.5",-0.214471491667771,0.134731398327409,-0.684592080753445,-0.0771545460289379,0.218087253457232,-0.582429400548969,-0.684592080753445,-0.686081432782874,-0.556985246380845,-0.337892756349953,-0.172525718397324,0.0432475679062422,0.220405663409362,0.374458137937059,0.638140101144966
"Mohn.rho",-0.0624226550294782,0.00410542805270032,-0.517052742789497,-0.129133319342391,0.0653682247110713,-0.473990934636121,-0.517052742789497,-0.550623877716701,-0.521260517030391,-0.405609655791774,-0.234311588924644,-0.0837262113973522,0.0287387149922205,0.119406213030651,0.28239987692052
