"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0866885984116717,-0.0611920559011818,-0.0325315808076488,-0.0447182434361665,-0.0615987708999023,0.00103517924060333,-0.0325315808076488,0.189620223935402,0.0747738101489211,-0.0838538681948423,-0.0887753456035359,-0.0773390862827839,-0.0566091264447346,-0.0567606250269176,-0.06106235304297
"peel.2",0.093305165490154,-0.0930653314128869,0.958887549390677,-0.0619686490557065,-0.0703764503630179,0.164347076860873,0.958887549390677,0.371525480717796,-0.201005929055901,-0.264435709454762,-0.16169100468378,-0.0752054427618727,-0.0511353575067303,-0.0430903226709858,-0.0253847140236828
"peel.3",-0.0334423193913585,-0.00832600203596485,1.166388070813,-0.0146140772625522,0.0305239298574504,0.170517207077942,1.166388070813,-0.315002898278578,-0.328650439708601,-0.23484216117772,-0.0709831272445298,0.0278555665819297,0.0652275518565199,0.103781058164276,0.153397613367648
"peel.4",-0.135450034393375,0.104970187606027,-0.436219610483003,0.0568021782914038,0.127476586303011,-0.172619599343321,-0.436219610483003,-0.203468984488106,-0.270963384968649,-0.146282899799908,0.0340380832118019,0.113645534823819,0.18058259044216,0.226671195693056,0.281414086865221
"peel.5",-0.131160664064992,0.120810207835507,0.628993628942827,0.117692877549429,0.124550481276689,0.19125809952873,0.628993628942827,0.0201000837276321,-0.0496504916023937,0.0249634391237148,0.0345441366411026,0.12157958105947,0.159274650093681,0.185239252598028,0.230041095489712
"Mohn.rho",-0.0240118507895799,0.0126394012183001,0.45710361157117,0.0106388172172815,0.030115155234846,0.0709075926729654,0.45710361157117,0.0125547811228294,-0.155099287037325,-0.140890239900704,-0.0505734515357881,0.0221072306841124,0.0594680616881792,0.0831681117514914,0.115681145731186
