"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0141342570263515,-0.0104420991196927,-0.0882212292903254,-0.00527762017213428,-0.0101381796335236,-0.0107037679974962,-0.0882212292903254,0.14259826480322,0.0634265147293483,-0.07658951801424,-0.0686034246853207,-0.0454753965864003,-0.010041446863785,0.00267008665635479,0.0141953133394706
"peel.2",0.015821835767531,-0.0324709465460034,0.797695961111593,-0.0125080855032567,-0.0128276634978139,0.168495750727533,0.797695961111593,0.309722653434052,-0.208202605622766,-0.252266095052814,-0.12893163387834,-0.0268596900263303,0.0135064958321022,0.0296396513993935,0.0524995354201248
"peel.3",-0.0189551502210762,-0.0143543000733638,0.901947908936394,-0.0264574921286123,0.0155568933351128,0.124437967127644,0.901947908936394,-0.369064785139075,-0.353652190083253,-0.240913310081008,-0.0608562706247788,0.0390619387053852,0.0683748628169383,0.0928061920694262,0.117789002144393
"peel.4",-0.0647395761469874,0.047972299560831,-0.518466374479278,7.35747289955047e-05,0.0576885284561366,-0.248641184935437,-0.518466374479278,-0.282011430799449,-0.308703076967786,-0.164193971375604,0.0300312247146715,0.094810771458055,0.132166952304373,0.149249159553968,0.171082702422577
"peel.5",-0.0821145250456614,0.0876501791045282,0.343218721736336,0.0810254091521426,0.0776553379061604,0.0937153296401729,0.343218721736336,-0.0978194150188842,-0.105523200738841,0.00792911517035262,0.0398786859520218,0.116464482215836,0.133918238758427,0.143250902794339,0.17427275316465
"Mohn.rho",-0.0271706317239685,0.0156710265852599,0.287234997602944,0.00737115721542696,0.0255869833132145,0.0254608189124833,0.287234997602944,-0.0593149425440271,-0.18253091173666,-0.145206755870663,-0.0376962837043493,0.0356004211533091,0.0675850205696112,0.0835231984946961,0.105967861298243
