"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0606741813368368,-0.0607776282825422,-0.283896785642657,-0.0707884395616199,-0.0466823034072394,-0.173694230184129,-0.283896785642657,-0.0738028169014084,-0.0876147241321792,-0.164719275842408,-0.131084985096839,-0.092950473560097,-0.0497371240345446,-0.0298502434769056,-0.00645515815557304
"peel.2",0.0241872902717141,-0.0661994118655467,0.266911330329229,-0.0705695644507141,-0.022957548753319,-0.0131072290284335,0.266911330329229,-0.0245098157173719,-0.356506324285362,-0.346685767892228,-0.197916734430478,-0.0718051973074311,-0.00925193221698019,0.0236464439015549,0.0886253130245845
"peel.3",-0.06553117901397,-0.0278569049644478,0.17804858938513,-0.0985344451251499,0.05068868812198,-0.132082626743375,0.17804858938513,-0.561467044945558,-0.493510557469962,-0.342396619986639,-0.129671046086789,0.0135992770033798,0.0817171243301532,0.142749164394688,0.253548548561462
"peel.4",-0.170141639233418,0.0888793059173766,-0.704202171337137,-0.0599845387030975,0.161880641352782,-0.488071887659844,-0.704202171337137,-0.501512249076523,-0.449491982337062,-0.260782858347904,-0.0204631829818808,0.10237224780839,0.200249637391162,0.274602198394235,0.413998165796486
"peel.5",-0.156339996760271,0.0917355139661666,-0.283438763759558,-0.00123776982498466,0.15225715719091,-0.259748512642498,-0.283438763759558,-0.422555906755665,-0.325041409819177,-0.135047993762155,-0.0352209763652495,0.108199950929295,0.195641276190767,0.264780351294418,0.438267567532323
"Mohn.rho",-0.0614302686798216,0.00515617495420131,-0.165315560204999,-0.0602229515331132,0.0590373269010228,-0.213340897251656,-0.165315560204999,-0.316769566679305,-0.342432999608749,-0.249926503166267,-0.102871384992247,0.0118831609747075,0.0837237963321115,0.135185582901598,0.237596887351856
