"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.068802082129162,-0.0643330499188125,-0.246652722388184,-0.0651522664555175,-0.0552131654456871,-0.131722864108392,-0.246652722388184,-0.0299115859438824,-0.0604245936420543,-0.162353074662005,-0.142470230540769,-0.107088105537395,-0.0641831591680753,-0.0433575822955257,-0.019550139434633
"peel.2",0.0738397675093111,-0.0858766591932748,0.395840626236862,-0.0805296611957896,-0.0634707885207804,-0.012820095233257,0.395840626236862,0.0664630164723244,-0.326192543920172,-0.343423090265036,-0.214076190720262,-0.103806303242377,-0.0507253190245849,-0.0254886448831848,0.0141620196260173
"peel.3",0.0260185143316358,-0.0525664222455005,0.473227439673615,-0.0746740852667904,-0.0249263223930768,-0.053825642444577,0.473227439673615,-0.487090366220744,-0.44909533764758,-0.326250655317052,-0.141106750703611,-0.0293844430721756,0.0134504069614604,0.0461960260550232,0.0906032223817338
"peel.4",-0.0582993565112766,0.0470150848802717,-0.606062815606978,-0.00224342351252587,0.0549653649326107,-0.299329811755959,-0.606062815606978,-0.376958021296746,-0.373846476713464,-0.216491015458749,-0.00864109507082627,0.0685618255144555,0.117729084293626,0.143517372929677,0.182140760374007
"peel.5",-0.138472240490407,0.165091718071239,0.361946648811479,0.153598186206909,0.145797369325825,0.131162911216488,0.361946648811479,-0.0786536341496691,-0.0812282881620379,0.0467440971409927,0.0939638415443705,0.184096080053635,0.211543669396819,0.225889486975241,0.267773014643226
"Mohn.rho",-0.00562224660631486,0.00186613431878457,0.0756598353453588,-0.0138002500447429,0.0114304915797783,-0.0733071004651396,0.0756598353453588,-0.181230118227743,-0.258157448017062,-0.20035474771237,-0.0824660850982197,0.00247581074322856,0.0455629364918491,0.0693513317562461,0.10702577551807
