"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0596419724040577,-0.0534507460901943,-0.216703111648284,-0.0558722252796928,-0.0449777610882378,-0.119906221180583,-0.216703111648284,0.00367108523066357,-0.0317709653112121,-0.126836137116533,-0.101272625600844,-0.073688032410093,-0.0386538601561278,-0.0267240386908647,-0.0164411123971732
"peel.2",0.0216307045351686,-0.0642004335383481,0.457420961680545,-0.0449143841026127,-0.0201597346264123,0.107016405532675,0.457420961680545,0.10123954308539,-0.293970575652636,-0.296932092011114,-0.155820661096269,-0.0412426316416103,0.00873972724775625,0.0335140206400501,0.0765577322843363
"peel.3",-0.0836557141774746,-0.0241486254588304,0.444626243281719,-0.0749544078252751,0.0669084480008815,0.0254390759218621,0.444626243281719,-0.484129922327065,-0.423338150635548,-0.275116841904589,-0.067246301387111,0.06257019151371,0.121426138694376,0.176166425515751,0.255416907583514
"peel.4",-0.175509312062537,0.0826386881621343,-0.635107039383624,-0.0605751656656501,0.162508903564556,-0.42284976601311,-0.635107039383624,-0.401185312668085,-0.365939036817155,-0.180149760596711,0.0483170809584241,0.153713949367935,0.240125142938072,0.301251264517635,0.391073315491074
"peel.5",-0.136852829363017,0.0808196291949323,-0.0549945893054918,0.019159289300791,0.126173047112348,-0.105789121499929,-0.0549945893054918,-0.283956129469958,-0.209972802818548,-0.0412757628873255,0.0239128737494061,0.137996445824891,0.193712843846586,0.232950752415492,0.33168166005628
"Mohn.rho",-0.0629490357327605,0.00433170245393874,-0.000951507075027039,-0.0434313787144879,0.058090580592627,-0.103217925447817,-0.000951507075027039,-0.212872147229811,-0.26499830624702,-0.184062118903255,-0.0504219266752786,0.0478699845309665,0.105069998514132,0.143431684879613,0.207657700603606
