"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0799270864192856,-0.0558609032935806,-0.0354839800714977,-0.0398918312090662,-0.0571904683428198,0.00321695319328269,-0.0354839800714977,0.190082459880795,0.0783902304066442,-0.0808571418003652,-0.0836573995241404,-0.0725999906345022,-0.0517376518419254,-0.0522534894527374,-0.0561993126326122
"peel.2",0.0904254648853766,-0.0914365849870822,0.951153791735819,-0.0593525117799887,-0.0685756374325873,0.16934981933316,0.951153791735819,0.373663079770476,-0.197913898231197,-0.260220565227186,-0.156073235936206,-0.0695665369565452,-0.0471193979072797,-0.0401551292697898,-0.0237069125209323
"peel.3",-0.0190728830225493,-0.0224242590235444,1.14272900167787,-0.0271321754489255,0.0172981995911998,0.165035627186507,1.14272900167787,-0.318481391216831,-0.328914390255464,-0.234924963327942,-0.0709217863765269,0.025024549522782,0.0574721434116125,0.0918598273733105,0.137167312781559
"peel.4",-0.10828967853885,0.0754473624381936,-0.445111801741315,0.0296918164994296,0.0975087456963789,-0.186781494934514,-0.445111801741315,-0.2104035626362,-0.27535662976702,-0.151851113554721,0.0256184944505147,0.0998856148850713,0.158055498204101,0.195921388358838,0.251850597445097
"peel.5",-0.0749772563377157,0.065524700207911,0.567053760557716,0.0681247919187326,0.0660444963564306,0.152092037224936,0.567053760557716,-0.00744016179328364,-0.0706814266778526,0.000789676302032787,0.00513858067319473,0.080789985427743,0.100013125560571,0.113132094540849,0.159748657288861
"Mohn.rho",-0.00639745331889059,-0.0057499369316205,0.436068154431719,-0.00571198200396365,0.0110170671737204,0.0605825884006745,0.436068154431719,0.00548408480099127,-0.158895222904978,-0.145412821521636,-0.0559790693426328,0.0127067244489098,0.0433367434854158,0.0617009383100941,0.0937720684723945
