"stock","SpeciesCommonName","year","ExpertGroup","ssb_rho","rec_rho","fbar_rho"
"agn.27.nea","Angel shark",2018,"WGEF",NA,NA,NA
"agn.27.nea","Angel shark",2019,"WGEF",NA,NA,NA
"alf.27.nea","Alfonsinos",2018,"WGDEEP",NA,NA,NA
"alf.27.nea","Alfonsinos",2019,"WGDEEP",NA,NA,NA
"ane.27.8","Anchovy",2019,"WGHANSA",NA,NA,NA
"ane.27.9a","Anchovy",2018,"WGHANSA",NA,NA,NA
"ane.27.9a","Anchovy",2019,"WGHANSA",NA,NA,NA
"anf.27.1-2","Anglerfish",2018,"AFWG",NA,NA,NA
"anf.27.1-2","Anglerfish",2019,"AFWG",NA,NA,NA
"anf.27.3a46","Anglerfish",2018,"WGCSE",NA,NA,NA
"anf.27.3a46","Anglerfish",2019,"WGCSE",NA,NA,NA
"ank.27.78abd","Black-bellied anglerfish",2018,"WGBIE",NA,NA,NA
"ank.27.78abd","Black-bellied anglerfish",2019,"WGBIE",NA,NA,NA
"ank.27.8c9a","Black-bellied anglerfish",2019,"WGBIE",NA,NA,NA
"aru.27.123a4","Greater silver smelt",2018,"WGDEEP",NA,NA,NA
"aru.27.123a4","Greater silver smelt",2019,"WGDEEP",NA,NA,NA
"aru.27.5a14","Greater silver smelt",2018,"WGDEEP",NA,NA,NA
"aru.27.5a14","Greater silver smelt",2019,"WGDEEP",NA,NA,NA
"aru.27.5b6a","Greater silver smelt",2018,"WGDEEP",NA,NA,NA
"aru.27.5b6a","Greater silver smelt",2019,"WGDEEP",NA,NA,NA
"aru.27.6b7-1012","Greater silver smelt",2018,"WGDEEP",NA,NA,NA
"aru.27.6b7-1012","Greater silver smelt",2019,"WGDEEP",NA,NA,NA
"bli.27.5a14","Blue ling",2018,"WGDEEP",NA,NA,NA
"bli.27.5a14","Blue ling",2019,"WGDEEP",NA,NA,NA
"bli.27.5b67","Blue ling",2018,"WGDEEP",NA,NA,NA
"bli.27.5b67","Blue ling",2019,"WGDEEP",NA,NA,NA
"bli.27.nea","Blue ling",2018,"WGDEEP",NA,NA,NA
"bli.27.nea","Blue ling",2019,"WGDEEP",NA,NA,NA
"bll.27.22-32","Brill",2018,"WGBFAS",NA,NA,NA
"bll.27.22-32","Brill",2019,"WGBFAS",NA,NA,NA
"bll.27.3a47de","Brill",2018,"WGNSSK",NA,NA,NA
"bll.27.3a47de","Brill",2019,"WGNSSK",NA,NA,NA
"boc.27.6-8","Boarfish",2018,"WGWIDE",NA,NA,NA
"boc.27.6-8","Boarfish",2019,"WGWIDE",NA,NA,NA
"bsf.27.nea","Black scabbardfish",2018,"WGDEEP",NA,NA,NA
"bsf.27.nea","Black scabbardfish",2019,"WGDEEP",NA,NA,NA
"bsk.27.nea","Basking shark",2018,"WGEF",NA,NA,NA
"bsk.27.nea","Basking shark",2019,"WGEF",NA,NA,NA
"bss.27.4bc7ad-h","Seabass",2019,"WGCSE",NA,NA,NA
"bss.27.6a7bj","Seabass",2018,"WGCSE",NA,NA,NA
"bss.27.6a7bj","Seabass",2019,"WGCSE",NA,NA,NA
"bss.27.8c9a","Seabass",2018,"WGBIE",NA,NA,NA
"bss.27.8c9a","Seabass",2019,"WGBIE",NA,NA,NA
"cap.27.1-2","Capelin",2018,"AFWG",NA,NA,NA
"cap.27.1-2","Capelin",2019,"AFWG",NA,NA,NA
"cap.27.2a514","Capelin",2018,"NWWG",NA,NA,NA
"cap.27.2a514","Capelin",2019,"NWWG",NA,NA,NA
"cod.21.1a-e","Cod",2018,"NWWG",NA,NA,NA
"cod.21.1a-e","Cod",2019,"NWWG",NA,NA,NA
"cod.27.1-2","Cod",2018,"AFWG",NA,NA,NA
"cod.27.1-2","Cod",2019,"AFWG",NA,NA,NA
"cod.27.1-2coast","Cod",2018,"AFWG",NA,NA,NA
"cod.27.1-2coast","Cod",2019,"AFWG",NA,NA,NA
"cod.27.21","Cod",2018,"WGBFAS",NA,NA,NA
"cod.27.21","Cod",2019,"WGBFAS",NA,NA,NA
"cod.27.24-32","Cod",2018,"WGBFAS",NA,NA,NA
"cod.27.5b1","Cod",2019,"NWWG",NA,NA,NA
"cod.27.5b2","Cod",2018,"NWWG",NA,NA,NA
"cod.27.5b2","Cod",2019,"NWWG",NA,NA,NA
"cod.27.6b","Cod",2018,"WGCSE",NA,NA,NA
"cod.27.6b","Cod",2019,"WGCSE",NA,NA,NA
"cyo.27.nea","Portuguese dogfish",2018,"WGEF",NA,NA,NA
"cyo.27.nea","Portuguese dogfish",2019,"WGEF",NA,NA,NA
"dab.27.22-32","Dab",2018,"WGBFAS",NA,NA,NA
"dab.27.22-32","Dab",2019,"WGBFAS",NA,NA,NA
"dab.27.3a4","Dab",2018,"WGNSSK",NA,NA,NA
"dab.27.3a4","Dab",2019,"WGNSSK",NA,NA,NA
"dgs.27.nea","Spurdog",2018,"WGEF",NA,NA,NA
"dgs.27.nea","Spurdog",2019,"WGEF",NA,NA,NA
"ele.2737.nea","Eel",2018,"WGEEL",NA,NA,NA
"ele.2737.nea","Eel",2019,"WGEEL",NA,NA,NA
"fle.27.2223","Flounder",2018,"WGBFAS",NA,NA,NA
