"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.0720542835884499,0.0972495310416524,1.0478450055582,0.133041514524951,0.0562823819232785,0.523028356593512,1.0478450055582,0.718653750584906,0.301518154397659,0.0197156267880778,-0.129445687442736,-0.084780629705329
"peel.2",-0.112378905757581,0.0674806540897336,3.74538157820063,0.0639879540300275,0.09168394328744,0.897152468618726,3.74538157820063,1.62969305546635,0.325386583599335,-0.148618188795324,-0.190120081614875,-0.127551612691565
"peel.3",-0.0764580415774101,-0.0523633520957374,3.12058678808496,0.0578377870680142,0.0642316840100214,0.49919472259216,3.12058678808496,0.637839513705656,-0.0600099145154168,-0.174943877136264,-0.14823849601538,-0.104103955490066
"peel.4",-0.129008640979346,-0.077653729821503,1.43922737382433,0.0958956494720929,0.132595904199746,0.31064814752768,1.43922737382433,0.251698937502093,-0.139728794061982,-0.189901471375099,-0.0797771917121162,-0.0487564233741532
"peel.5",-0.182970270660171,-0.0311072501068524,0.94264323572192,0.120520140580292,0.223304380246274,0.274680559458908,0.94264323572192,0.101592865341946,-0.16833009174149,-0.00243229388796543,0.0217597731865727,0.0348053526208575
"Mohn.rho",-0.114574028512592,0.000721170621458649,2.05913679627801,0.0942566091350755,0.113619658733352,0.500940850958197,2.05913679627801,0.66789562452019,0.0517671875356212,-0.0992360408813149,-0.105164336719707,-0.0660774537280512
