"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.0340585863162049,0.0629870549353778,0.141584332321935,0.114859120045543,0.034750579298856,0.132259837755836,0.141584332321935,0.0862563392546063,0.104897678883591,0.0796655475252881,-0.000461055902725618,6.01300982563611e-05
"peel.2",0.00676180357067819,0.0891194362679126,0.615675549622997,0.187483329642615,0.00379737313889966,0.520031565922771,0.615675549622997,0.293298915128894,0.110583959908518,-0.0134914389383413,-0.0387722730110837,-0.0483283386780184
"peel.3",-0.0261898725997505,-0.0524875525963288,0.187983726831311,0.0112667995042361,0.00613332833409558,0.0949492106814816,0.187983726831311,-0.13633875397854,-0.0524048488529124,0.0525826593125867,0.0643116739340545,0.0561350057514643
"peel.4",-0.16426436580092,-0.0494110449877133,-0.190393761373555,-0.163040501046199,0.138554444826959,-0.178428494539184,-0.190393761373555,-0.173848049918714,-0.0322073779356073,0.0912958984615,0.240330365738651,0.350178489584342
"peel.5",-0.27489446168574,-0.033270243259691,-0.26016304167077,-0.232252101307927,0.251808010517179,-0.250648427057468,-0.26016304167077,-0.265529619838717,-0.0868990342173886,0.34607771653843,0.465162491929097,0.690659651752998
"Mohn.rho",-0.0985290965663874,0.00338753007191148,0.0989373611463838,-0.0163366706323464,0.0870087472231978,0.0636327385526875,0.0989373611463838,-0.0392322338704941,0.00879407555724019,0.111226076579893,0.146114240537599,0.209740987701808
