"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.280960961888929,0.351524203237237,0.511884119306947,0.35341891875188,0.383680165262067,0.465823025402384,0.511884119306947,0.634918601268057,0.502870917387053,0.321616601331024,0.23441843177749,0.261798660660949
"peel.2",-0.477639286178109,0.87330512987169,2.63059099571089,0.912154753606928,0.906796081746576,1.60651656377917,2.63059099571089,2.18410744194548,1.15211898038718,0.657133142213938,0.609220330594961,0.692750591756707
"peel.3",-0.633285431906056,1.47283458806398,3.08228641628778,1.57984960439122,1.68580507189494,1.93219048882311,3.08228641628778,1.88131761977382,1.34418894993223,1.26597461106421,1.29982938166905,1.66843992693479
"peel.4",-0.776451348671297,2.7598204127233,2.68818209053775,2.72177099568417,3.35340127890997,2.61043614283399,2.68818209053775,2.5767887065651,2.16225944908652,2.20321052407566,2.75720776866602,4.11631729708303
"peel.5",-0.875266280079486,5.26473874007376,4.0482503487939,4.73246461740284,6.62544911193102,4.18380486712597,4.0482503487939,3.59867733815239,3.24330994435035,4.71224657149402,5.71262543737752,9.42548136687116
"Mohn.rho",-0.608720661744775,2.14444461479399,2.59223879412745,2.05993177796741,2.59102634194892,2.15975421759293,2.59223879412745,2.17516194154097,1.68094964822867,1.83203629003577,2.12266027001701,3.23295756866133
