"Scenario","2019","2020","2021"
"orig",1843.34505989357,1398.07002137947,1187.10051819641
"orig.SSBrhoadj",586.222778808378,490.902255109247,594.579884449267
"orig.NAArhoadj",548.8896119571,499.959965242836,599.61098770447
"01_Sudden Cmults",111.049807577966,104.696187980037,122.46749263304
"02_Ramp4 Cmults",116.688648120694,109.625142595733,126.800472503107
"03_Ramp9 Cmults",112.682693654959,105.507150533093,122.50665372588
"04_Sudden Mmults",392.193671314995,375.314498010017,599.329538606896
"05_Ramp4 Mmults",482.473553026646,507.813863330449,832.472674748951
"06_Ramp9 Mmults",541.652939569047,572.270109042256,921.575293869048
"07_Old Sudden Mmults",796.571574587186,914.070636661301,1331.48191985575
"08_Old Ramp4 Mmults",728.903916131018,839.654618575528,1223.55812046077
"09_Old Ramp9 Mmults",790.311779760573,907.62412115665,1324.01757566087
"10_Young Sudden Mmults",6.30696122622632,3.15121404904299,3.42965869316252
"11_Young Ramp4 Mmults",252.002422435819,138.896592856302,197.076091447565
"12_Young Ramp9 Mmults",217.97321388231,136.810440774689,203.950777834067
"Rose",379.06759844062,392.952881297091,584.055522503259
