"case","ramplab","Year","SSB","F","R"
"Mmult Old","Ramp4",2003,28695.31,0.2960406,57379.09
"Mmult Old","Ramp4",2004,22568.72,0.3861478,46801.57
"Mmult Old","Ramp4",2005,19925.76,0.2484558,60210
"Mmult Old","Ramp4",2006,18157.45,0.1488752,103527.7
"Mmult Old","Ramp4",2007,22771.26,0.1013749,81010.34
"Mmult Old","Ramp4",2008,29051.48,0.1286494,50518.79
"Mmult Old","Ramp4",2009,29165.27,0.134858,44594.34
"Mmult Old","Ramp4",2010,23226.31,0.09868736,30123.07
"Mmult Old","Ramp4",2011,19000.27,0.1194031,21019.86
"Mmult Old","Ramp4",2012,14283.24,0.09479051,17923.9
"Mmult Old","Ramp4",2013,9908.347,0.0384899,15231.3
"Mmult Old","Ramp4",2014,8084.807,0.03547629,8062.797
"Mmult Old","Ramp4",2015,5944.989,0.03552665,3366.421
"Mmult Old","Ramp4",2016,3963.994,0.01834959,2841.685
"Mmult Old","Ramp4",2017,2320.611,0.06368995,5099.461
"Mmult Old","Ramp4",2018,1528.066,0.04880934,9258.989
"Mmult Old","Ramp9",1973,23239.92,0.7614982,56041.16
"Mmult Old","Ramp9",1974,16404.69,1.019433,82907
"Mmult Old","Ramp9",1975,10903.34,1.546546,92834.55
"Mmult Old","Ramp9",1976,11202.59,1.426181,36435.93
"Mmult Old","Ramp9",1977,9089.536,1.256726,25856.34
"Mmult Old","Ramp9",1978,5999.582,1.069598,95610.84
"Mmult Old","Ramp9",1979,10282.32,0.6996806,55745.47
"Mmult Old","Ramp9",1980,15731.96,0.5168161,42558.16
"Mmult Old","Ramp9",1981,15727.85,0.468671,80453.67
"Mmult Old","Ramp9",1982,15651.78,0.8373968,37830.89
"Mmult Old","Ramp9",1983,11388.92,1.118559,11438.12
"Mmult Old","Ramp9",1984,4082.265,1.581171,20243.84
"Mmult Old","Ramp9",1985,3111.129,1.045341,26245.67
"Mmult Old","Ramp9",1986,4161.108,0.852853,14835.12
"Mmult Old","Ramp9",1987,4065.509,0.964576,19284.12
"Mmult Old","Ramp9",1988,4047.706,0.6974109,36301.03
"Mmult Old","Ramp9",1989,6551.348,0.2803224,16394
"Mmult Old","Ramp9",1990,6284.593,0.6835971,21488.67
"Mmult Old","Ramp9",1991,4945.417,0.5043412,43581.19
"Mmult Old","Ramp9",1992,6260.761,0.8562501,29490.16
"Mmult Old","Ramp9",1993,6538.912,0.5862358,41719.03
"Mmult Old","Ramp9",1994,7013.095,0.5558098,42756.51
"Mmult Old","Ramp9",1995,9487.301,0.1615904,43385.34
"Mmult Old","Ramp9",1996,14742.13,0.1462085,42138.7
"Mmult Old","Ramp9",1997,17326.28,0.175507,74318.02
"Mmult Old","Ramp9",1998,20373.24,0.2526564,86508.1
"Mmult Old","Ramp9",1999,28957.85,0.2286495,80736.68
"Mmult Old","Ramp9",2000,31999.11,0.3008054,70648.4
"Mmult Old","Ramp9",2001,30162.45,0.3141118,77305.43
"Mmult Old","Ramp9",2002,30692.07,0.2381908,72754.78
"Mmult Old","Ramp9",2003,29135.89,0.2916747,60363.8
"Mmult Old","Ramp9",2004,22966.73,0.3791105,49608.55
"Mmult Old","Ramp9",2005,20718.94,0.2383673,64161.79
"Mmult Old","Ramp9",2006,19229.39,0.139766,110757.6
"Mmult Old","Ramp9",2007,24340.76,0.09399497,87074.23
"Mmult Old","Ramp9",2008,31191.98,0.1189767,54483.64
"Mmult Old","Ramp9",2009,31439.74,0.1242591,48212.35
"Mmult Old","Ramp9",2010,25131.21,0.09067395,32611.29
"Mmult Old","Ramp9",2011,20621.67,0.1093393,22776.34
"Mmult Old","Ramp9",2012,15540.36,0.08655268,19410.55
"Mmult Old","Ramp9",2013,10785.91,0.03514407,16486.46
"Mmult Old","Ramp9",2014,8787.82,0.03243961,8731.933
"Mmult Old","Ramp9",2015,6457.417,0.03251862,3647.995
"Mmult Old","Ramp9",2016,4303.752,0.01681748,3083.575
"Mmult Old","Ramp9",2017,2522.079,0.05838376,5509.875
"Mmult Old","Ramp9",2018,1661.924,0.04467228,9962.367
"Mmult Old"," Sudden",1973,23235.95,0.7613919,56091.8
"Mmult Old"," Sudden",1974,16408.93,1.018864,82935.94
"Mmult Old"," Sudden",1975,10910.28,1.544826,92879.32
"Mmult Old"," Sudden",1976,11209.28,1.424635,36468.46
"Mmult Old"," Sudden",1977,9096.643,1.255465,25882.86
"Mmult Old"," Sudden",1978,6008.319,1.067686,95642.73
"Mmult Old"," Sudden",1979,10291.88,0.6983948,55760.37
"Mmult Old"," Sudden",1980,15743.51,0.5162753,42563.05
"Mmult Old"," Sudden",1981,15737.27,0.468266,80444.25
"Mmult Old"," Sudden",1982,15658.02,0.8368152,37845.24
"Mmult Old"," Sudden",1983,11390.32,1.118361,11449.33
"Mmult Old"," Sudden",1984,4082.018,1.581189,20245.41
"Mmult Old"," Sudden",1985,3110.514,1.04478,26246.09
"Mmult Old"," Sudden",1986,4159.759,0.8525942,14837.52
"Mmult Old"," Sudden",1987,4063.355,0.9648292,19274.88
"Mmult Old"," Sudden",1988,4044.078,0.6977385,36240.57
"Mmult Old"," Sudden",1989,6540.963,0.2806056,16348.57
"Mmult Old"," Sudden",1990,6267.059,0.685541,21359.39
"Mmult Old"," Sudden",1991,4918.302,0.5072071,42949.56
"Mmult Old"," Sudden",1992,6170.352,0.8688019,28606.1
"Mmult Old"," Sudden",1993,6346.991,0.6046898,39306.03
"Mmult Old"," Sudden",1994,6620.754,0.5896908,39758.67
"Mmult Old"," Sudden",1995,8775.474,0.175919,41496.52
"Mmult Old"," Sudden",1996,13816.41,0.1568532,43001.68
"Mmult Old"," Sudden",1997,17146.42,0.1777537,85927.55
"Mmult Old"," Sudden",1998,22612.13,0.2288316,100008.9
"Mmult Old"," Sudden",1999,35464.75,0.1847546,89836.63
"Mmult Old"," Sudden",2000,37445.2,0.2558477,74836.02
"Mmult Old"," Sudden",2001,32109.63,0.2965865,78839.66
"Mmult Old"," Sudden",2002,30757.05,0.2399162,72447.69
"Mmult Old"," Sudden",2003,28292.7,0.3033884,59784.86
"Mmult Old"," Sudden",2004,22055.41,0.398407,49203.08
"Mmult Old"," Sudden",2005,20070.99,0.248321,63909.02
"Mmult Old"," Sudden",2006,18873.49,0.1435395,110659.3
"Mmult Old"," Sudden",2007,24138.18,0.09553005,87154.71
"Mmult Old"," Sudden",2008,31097.36,0.1199648,54593.36
"Mmult Old"," Sudden",2009,31416.87,0.1247944,48347.07
"Mmult Old"," Sudden",2010,25151.61,0.09084586,32720.58
"Mmult Old"," Sudden",2011,20663.16,0.109375,22868.21
"Mmult Old"," Sudden",2012,15584.57,0.08648681,19501.37
"Mmult Old"," Sudden",2013,10823.8,0.03508345,16572.41
"Mmult Old"," Sudden",2014,8825.021,0.03236285,8782.062
"Mmult Old"," Sudden",2015,6488.339,0.03242157,3671.992
"Mmult Old"," Sudden",2016,4326.447,0.01675588,3108.367
"Mmult Old"," Sudden",2017,2537.144,0.05812159,5558.093
"Mmult Old"," Sudden",2018,1673.708,0.04443441,10049.6
"Cmult","Ramp4",1973,20641.11,0.8437998,54958.34
"Cmult","Ramp4",1974,13959.33,1.165391,83553.73
"Cmult","Ramp4",1975,9341.835,1.721756,93118.93
"Cmult","Ramp4",1976,9873.964,1.549595,35994.93
"Cmult","Ramp4",1977,7779.643,1.422504,24569.85
"Cmult","Ramp4",1978,4760.307,1.297055,89771.75
"Cmult","Ramp4",1979,8739.927,0.7879186,52985.74
"Cmult","Ramp4",1980,13423.48,0.5928282,41564.45
"Cmult","Ramp4",1981,13484.94,0.5350434,82970.2
"Cmult","Ramp4",1982,13966.74,0.9065675,39583.27
"Cmult","Ramp4",1983,10393.7,1.192672,11512.24
"Cmult","Ramp4",1984,3524.076,1.772605,19646.28
"Cmult","Ramp4",1985,2631.038,1.189222,24960.09
"Cmult","Ramp4",1986,3549.889,0.9670927,13930.35
"Cmult","Ramp4",1987,3308.366,1.152672,17582.22
"Cmult","Ramp4",1988,3146.185,0.8680977,33018.85
"Cmult","Ramp4",1989,5301.235,0.3359127,15389.04
"Cmult","Ramp4",1990,5039.105,0.8301519,19716.3
"Cmult","Ramp4",1991,3795.012,0.6389951,39671.58
"Cmult","Ramp4",1992,4811.161,1.068342,24457.34
"Cmult","Ramp4",1993,4684.955,0.7995828,29935.56
"Cmult","Ramp4",1994,4349.405,0.875405,26262.91
"Cmult","Ramp4",1995,5246.776,0.3425102,25872.39
"Cmult","Ramp4",1996,7932.241,0.3070438,24823.36
"Cmult","Ramp4",1997,9245.543,0.3652921,42185.76
"Cmult","Ramp4",1998,10658.16,0.5444098,46949.9
"Cmult","Ramp4",1999,14747.32,0.5135718,41395.09
"Cmult","Ramp4",2000,15243.17,0.718884,34561.14
"Cmult","Ramp4",2001,13016.77,0.8271621,37461.41
"Cmult","Ramp4",2002,12768.18,0.6587431,33864.06
"Cmult","Ramp4",2003,11808.7,0.82535,24909.49
"Cmult","Ramp4",2004,7919.227,1.261678,18647.91
"Cmult","Ramp4",2005,6229.544,0.9275454,24500.36
"Cmult","Ramp4",2006,6101.873,0.5143549,47319.97
"Cmult","Ramp4",2007,9232.41,0.2893645,45376.64
"Cmult","Ramp4",2008,14083.79,0.2984554,34569.61
"Cmult","Ramp4",2009,16458.52,0.6957883,33036.85
"Cmult","Ramp4",2010,14689.82,0.7373735,20553.37
"Cmult","Ramp4",2011,11486.78,1.308733,12849
"Cmult","Ramp4",2012,6841.013,1.728624,10660.25
"Cmult","Ramp4",2013,4306.662,0.9686337,9742.389
"Cmult","Ramp4",2014,3951.141,0.7650127,6238.138
"Cmult","Ramp4",2015,3325.917,0.6389256,3255.889
"Cmult","Ramp4",2016,2858.031,0.2404219,3162.834
"Cmult","Ramp4",2017,2202.73,0.6151821,5945.368
"Cmult","Ramp4",2018,1761.595,0.38643,10047.85
"Mmult All Ages","Ramp4",1973,19125.21,0.9451991,60294.58
"Mmult All Ages","Ramp4",1974,13198.84,1.302962,85441.09
"Mmult All Ages","Ramp4",1975,9234.999,1.92156,91626.62
"Mmult All Ages","Ramp4",1976,9645.799,1.752501,36868.04
"Mmult All Ages","Ramp4",1977,7526.465,1.569885,25889.57
"Mmult All Ages","Ramp4",1978,4671.45,1.426467,88448.77
"Mmult All Ages","Ramp4",1979,8650.542,0.9028565,52706.94
"Mmult All Ages","Ramp4",1980,13170.36,0.6431237,42935.68
"Mmult All Ages","Ramp4",1981,13341.67,0.5733268,83045.64
"Mmult All Ages","Ramp4",1982,13748.35,0.9990088,39952.36
"Mmult All Ages","Ramp4",1983,10080.67,1.300033,12288.59
"Mmult All Ages","Ramp4",1984,3255.498,1.993133,19647.41
"Mmult All Ages","Ramp4",1985,2467.028,1.395887,24735.76
"Mmult All Ages","Ramp4",1986,3363.677,1.118927,14310.72
"Mmult All Ages","Ramp4",1987,3118.943,1.305446,18578.47
"Mmult All Ages","Ramp4",1988,3092.863,0.9585406,37274.78
"Mmult All Ages","Ramp4",1989,5725.353,0.3390681,19465.92
"Mmult All Ages","Ramp4",1990,6010.233,0.7369388,30743.14
"Mmult All Ages","Ramp4",1991,5227.736,0.4882065,84024.75
"Mmult All Ages","Ramp4",1992,8208.853,0.6851281,79092.22
"Mmult All Ages","Ramp4",1993,9473,0.4119543,147572.3
"Mmult All Ages","Ramp4",1994,10900.16,0.3591228,186751.1
"Mmult All Ages","Ramp4",1995,13730.95,0.1790779,200488.6
"Mmult All Ages","Ramp4",1996,16772.7,0.1945978,184705.2
"Mmult All Ages","Ramp4",1997,16985.97,0.2683602,316997.6
"Mmult All Ages","Ramp4",1998,20628.34,0.41553,365743.3
"Mmult All Ages","Ramp4",1999,30677.54,0.3633192,328277.7
"Mmult All Ages","Ramp4",2000,32157.61,0.4751193,270359.6
"Mmult All Ages","Ramp4",2001,27688.44,0.5191677,285421
"Mmult All Ages","Ramp4",2002,27792.94,0.4082955,248513.3
"Mmult All Ages","Ramp4",2003,25044.78,0.513566,187443.8
"Mmult All Ages","Ramp4",2004,17644.02,0.7172104,146256.4
"Mmult All Ages","Ramp4",2005,15086.74,0.4862805,183851.9
"Mmult All Ages","Ramp4",2006,14255.78,0.2924442,314299.6
"Mmult All Ages","Ramp4",2007,19351.15,0.1956483,245629.2
"Mmult All Ages","Ramp4",2008,22790.77,0.2421208,153522.7
"Mmult All Ages","Ramp4",2009,20685.01,0.2534434,135942.3
"Mmult All Ages","Ramp4",2010,16404.16,0.1854183,91590.6
"Mmult All Ages","Ramp4",2011,13328.94,0.2232102,64668.4
"Mmult All Ages","Ramp4",2012,9841.737,0.1756574,55551.45
"Mmult All Ages","Ramp4",2013,6847.048,0.06946166,47861.12
"Mmult All Ages","Ramp4",2014,5888.424,0.06192668,26124.48
"Mmult All Ages","Ramp4",2015,4174.038,0.06049857,10873.44
"Mmult All Ages","Ramp4",2016,2653.572,0.0304932,8844.693
"Mmult All Ages","Ramp4",2017,1635.018,0.1034036,13916.17
"Mmult All Ages","Ramp4",2018,1140.47,0.07938903,20783.88
"Cmult","Ramp9",1973,20931.53,0.8353045,55311.64
"Cmult","Ramp9",1974,14262.68,1.147764,83521.07
"Cmult","Ramp9",1975,9546.776,1.70297,93025.36
"Cmult","Ramp9",1976,10040.98,1.539591,36067.35
"Cmult","Ramp9",1977,7940.047,1.403928,24773.95
"Cmult","Ramp9",1978,4914.182,1.267224,90532.88
"Cmult","Ramp9",1979,8935.81,0.7793877,53354.76
"Cmult","Ramp9",1980,13717.62,0.5833998,41771.63
"Cmult","Ramp9",1981,13778.92,0.526447,82618.35
"Cmult","Ramp9",1982,14181.81,0.9002416,39337.42
"Cmult","Ramp9",1983,10510.17,1.186672,11522.17
"Cmult","Ramp9",1984,3584.069,1.753624,19704.1
"Cmult","Ramp9",1985,2681.422,1.177529,25080.25
"Cmult","Ramp9",1986,3610.921,0.9587472,14023.74
"Cmult","Ramp9",1987,3381.755,1.13508,17766.29
"Cmult","Ramp9",1988,3233.978,0.8512212,33385.2
"Cmult","Ramp9",1989,5428.381,0.3306753,15498.02
"Cmult","Ramp9",1990,5166.124,0.8146487,19912.16
"Cmult","Ramp9",1991,3910.163,0.624494,39819.48
"Cmult","Ramp9",1992,4929.466,1.053257,24656.15
"Cmult","Ramp9",1993,4805.229,0.7851526,30291.45
"Cmult","Ramp9",1994,4477.644,0.8571093,26850.65
"Cmult","Ramp9",1995,5420.603,0.3348795,26430.19
"Cmult","Ramp9",1996,8199.332,0.2994918,25292.93
"Cmult","Ramp9",1997,9560.794,0.3556181,42881.35
"Cmult","Ramp9",1998,11019.58,0.5297472,47680.99
"Cmult","Ramp9",1999,15215.51,0.5019255,42277.82
"Cmult","Ramp9",2000,15780.11,0.7006743,35872.02
"Cmult","Ramp9",2001,13668,0.7943781,39805.05
"Cmult","Ramp9",2002,13704.93,0.6177706,38054.02
"Cmult","Ramp9",2003,13238.89,0.7429608,32396.47
"Cmult","Ramp9",2004,10100.05,1.002293,29214.04
"Cmult","Ramp9",2005,9799.294,0.5888859,41446.74
"Cmult","Ramp9",2006,10398.1,0.5733274,74032.65
"Cmult","Ramp9",2007,14214.32,0.535526,61586.12
"Cmult","Ramp9",2008,18557.81,0.9100038,41488.49
"Cmult","Ramp9",2009,18710.28,1.170194,36075.29
"Cmult","Ramp9",2010,15269.26,0.9926324,21179.26
"Cmult","Ramp9",2011,11456.19,1.509925,13276.42
"Cmult","Ramp9",2012,6807.014,1.772583,11352.05
"Cmult","Ramp9",2013,4490.957,0.8619986,10587.43
"Cmult","Ramp9",2014,4303.202,0.7134421,6803.134
"Cmult","Ramp9",2015,3651.682,0.6483746,3532.526
"Cmult","Ramp9",2016,3123.285,0.2454143,3423.174
"Cmult","Ramp9",2017,2390.039,0.6317563,6396.372
"Cmult","Ramp9",2018,1894.989,0.401876,10737.77
"Mmult All Ages","Ramp9",1973,19262.31,0.9461604,60831.44
"Mmult All Ages","Ramp9",1974,13371.48,1.302847,85413.05
"Mmult All Ages","Ramp9",1975,9375.973,1.932339,91024.3
"Mmult All Ages","Ramp9",1976,9749.119,1.767913,36799.21
"Mmult All Ages","Ramp9",1977,7625.504,1.570409,26040.93
"Mmult All Ages","Ramp9",1978,4766.912,1.422888,88778.73
"Mmult All Ages","Ramp9",1979,8784.119,0.9115328,52924.21
"Mmult All Ages","Ramp9",1980,13377.45,0.6404906,43196.05
"Mmult All Ages","Ramp9",1981,13566.75,0.5703413,82844.05
"Mmult All Ages","Ramp9",1982,13914.7,1.002247,39772.61
"Mmult All Ages","Ramp9",1983,10188.17,1.299832,12445.62
"Mmult All Ages","Ramp9",1984,3342.563,1.963709,20769.56
"Mmult All Ages","Ramp9",1985,2682.3,1.308457,28928.45
"Mmult All Ages","Ramp9",1986,3953.52,0.9653252,19868.62
"Mmult All Ages","Ramp9",1987,4028.222,1.016004,31317.44
"Mmult All Ages","Ramp9",1988,4453.847,0.667414,71129.84
"Mmult All Ages","Ramp9",1989,8171.822,0.2416314,37383.1
"Mmult All Ages","Ramp9",1990,7544.872,0.5845927,56130.88
"Mmult All Ages","Ramp9",1991,5868.362,0.4335924,133086.8
"Mmult All Ages","Ramp9",1992,8921.142,0.6369589,107626.5
"Mmult All Ages","Ramp9",1993,9728.956,0.4045644,176561.3
"Mmult All Ages","Ramp9",1994,10855.04,0.3659986,202947.4
"Mmult All Ages","Ramp9",1995,13721.02,0.1842417,207399.9
"Mmult All Ages","Ramp9",1996,17071.72,0.194689,191645.3
"Mmult All Ages","Ramp9",1997,17514.49,0.2634859,328903.9
"Mmult All Ages","Ramp9",1998,21435.86,0.4036776,378135.9
"Mmult All Ages","Ramp9",1999,31908.76,0.35183,338715.3
"Mmult All Ages","Ramp9",2000,33443.65,0.4595214,279474.7
"Mmult All Ages","Ramp9",2001,28863.79,0.5003662,294951
"Mmult All Ages","Ramp9",2002,28984.4,0.3927028,257852.2
"Mmult All Ages","Ramp9",2003,26181.66,0.4935788,197120.2
"Mmult All Ages","Ramp9",2004,18644.42,0.6832803,155922.7
"Mmult All Ages","Ramp9",2005,16158.64,0.4563472,197478.6
"Mmult All Ages","Ramp9",2006,15399.22,0.2716948,338376.6
"Mmult All Ages","Ramp9",2007,20942.2,0.1815565,265129.3
"Mmult All Ages","Ramp9",2008,24695.94,0.2187204,166195.8
"Mmult All Ages","Ramp9",2009,22486.38,0.2286066,147642.7
"Mmult All Ages","Ramp9",2010,17894.7,0.1670178,99845.28
"Mmult All Ages","Ramp9",2011,14593.4,0.2004231,70616.72
"Mmult All Ages","Ramp9",2012,10816.16,0.1570921,60725.98
"Mmult All Ages","Ramp9",2013,7533.577,0.0621683,52408.93
"Mmult All Ages","Ramp9",2014,6470.663,0.05557687,28694.45
"Mmult All Ages","Ramp9",2015,4590.537,0.05433646,11998.83
"Mmult All Ages","Ramp9",2016,2921.814,0.0274143,9845.664
"Mmult All Ages","Ramp9",2017,1809.589,0.09286065,15741.3
"Mmult All Ages","Ramp9",2018,1275.499,0.07078583,23888.14
"Cmult"," Sudden",1973,21130.08,0.8269394,55184.76
"Cmult"," Sudden",1974,14417.09,1.134966,83435.46
"Cmult"," Sudden",1975,9631.264,1.686383,93060.67
"Cmult"," Sudden",1976,10116.64,1.525879,36059.06
"Cmult"," Sudden",1977,8014.021,1.390118,24805.16
"Cmult"," Sudden",1978,4978.831,1.250214,90940.48
"Cmult"," Sudden",1979,9022.487,0.7699216,53549.22
"Cmult"," Sudden",1980,13858.49,0.5768067,41790.08
"Cmult"," Sudden",1981,13915.48,0.5208426,82471.75
"Cmult"," Sudden",1982,14288.74,0.8925515,39214.4
"Cmult"," Sudden",1983,10578.39,1.178489,11496.01
"Cmult"," Sudden",1984,3623.914,1.735468,19744.18
"Cmult"," Sudden",1985,2713.792,1.162003,25153.22
"Cmult"," Sudden",1986,3651.144,0.9466392,14066.23
"Cmult"," Sudden",1987,3430.093,1.118268,17851.75
"Cmult"," Sudden",1988,3288.2,0.836285,33540.09
"Cmult"," Sudden",1989,5497.96,0.3259397,15516.84
"Cmult"," Sudden",1990,5232.037,0.8040161,19935.45
"Cmult"," Sudden",1991,3965.101,0.6153678,39906.7
"Cmult"," Sudden",1992,4988.34,1.039443,24750.87
"Cmult"," Sudden",1993,4867.622,0.7741018,30500.38
"Cmult"," Sudden",1994,4549.661,0.8424782,27078.9
"Cmult"," Sudden",1995,5511.796,0.3211896,26580.43
"Cmult"," Sudden",1996,8324.166,0.2889587,25333.79
"Cmult"," Sudden",1997,9683.146,0.3449713,42809.61
"Cmult"," Sudden",1998,11119.92,0.5150922,47473
"Cmult"," Sudden",1999,15265.4,0.4890333,41822.59
"Cmult"," Sudden",2000,15747.93,0.6877047,35077.51
"Cmult"," Sudden",2001,13512.56,0.7884404,38199.39
"Cmult"," Sudden",2002,13306.86,0.6243999,35082.81
"Cmult"," Sudden",2003,12434.96,0.7753422,27057.98
"Cmult"," Sudden",2004,8699.584,1.139552,21623.68
"Cmult"," Sudden",2005,7364.662,0.7728266,30264.93
"Cmult"," Sudden",2006,7730.639,0.3971584,63576.88
"Cmult"," Sudden",2007,12362.37,0.2124501,66704.64
"Cmult"," Sudden",2008,19848.93,0.2055608,53795.23
"Cmult"," Sudden",2009,26493.92,0.1552906,48419.99
"Cmult"," Sudden",2010,23404.99,1.050437,26413.71
"Cmult"," Sudden",2011,15213.11,1.659973,14895.1
"Cmult"," Sudden",2012,7933.272,1.995848,11879.03
"Cmult"," Sudden",2013,4761.434,0.9726788,10759.61
"Cmult"," Sudden",2014,4370.269,0.7582709,6825.098
"Cmult"," Sudden",2015,3666.242,0.635114,3530.813
"Cmult"," Sudden",2016,3133.189,0.2415774,3362.264
"Cmult"," Sudden",2017,2392.031,0.6238694,6213.537
"Cmult"," Sudden",2018,1881.201,0.395988,10516.25
"Mmult All Ages"," Sudden",1973,19817.57,0.8787491,56375.27
"Mmult All Ages"," Sudden",1974,13369.7,1.217228,84438.12
"Mmult All Ages"," Sudden",1975,9082.338,1.777658,93343.4
"Mmult All Ages"," Sudden",1976,9628.797,1.596981,36504.63
"Mmult All Ages"," Sudden",1977,7539.687,1.472545,24991.71
"Mmult All Ages"," Sudden",1978,4599.469,1.346365,88804.46
"Mmult All Ages"," Sudden",1979,8540.615,0.8109636,52654.89
"Mmult All Ages"," Sudden",1980,13081.56,0.6109718,41754.12
"Mmult All Ages"," Sudden",1981,13163.32,0.5503255,83270.58
"Mmult All Ages"," Sudden",1982,13693.78,0.9297708,40173.5
"Mmult All Ages"," Sudden",1983,10168.33,1.224903,11878.96
"Mmult All Ages"," Sudden",1984,3372.55,1.852563,19617.48
"Mmult All Ages"," Sudden",1985,2518.649,1.245156,24726.99
"Mmult All Ages"," Sudden",1986,3408.715,1.010906,13952.48
"Mmult All Ages"," Sudden",1987,3142.103,1.217585,17492.54
"Mmult All Ages"," Sudden",1988,2980.315,0.9194704,32805.82
"Mmult All Ages"," Sudden",1989,5116.395,0.3491334,15513.11
"Mmult All Ages"," Sudden",1990,4879.689,0.8625501,19892.26
"Mmult All Ages"," Sudden",1991,3674.269,0.663025,39539.08
"Mmult All Ages"," Sudden",1992,4682.306,1.10552,24520.01
"Mmult All Ages"," Sudden",1993,4552.021,0.8275521,29822.99
"Mmult All Ages"," Sudden",1994,4220.657,0.9073355,26225.06
"Mmult All Ages"," Sudden",1995,5113.689,0.3551556,25997.33
"Mmult All Ages"," Sudden",1996,7793.234,0.3144454,25146.15
"Mmult All Ages"," Sudden",1997,9162.825,0.3713203,42906.34
"Mmult All Ages"," Sudden",1998,10666.04,0.550489,48273.27
"Mmult All Ages"," Sudden",1999,14962.75,0.5099014,43782.73
"Mmult All Ages"," Sudden",2000,15785.67,0.699637,38419.91
"Mmult All Ages"," Sudden",2001,14057.24,0.7723525,45301.21
"Mmult All Ages"," Sudden",2002,14870.52,0.5706565,48890.39
"Mmult All Ages"," Sudden",2003,15833.55,0.6224518,50808.94
"Mmult All Ages"," Sudden",2004,14674.18,0.6874951,57058.61
"Mmult All Ages"," Sudden",2005,14486.71,0.3969098,105003.9
"Mmult All Ages"," Sudden",2006,12154.78,0.2609449,169746.7
"Mmult All Ages"," Sudden",2007,14491.66,0.1939926,129056.4
"Mmult All Ages"," Sudden",2008,16288.94,0.2556215,79864.11
"Mmult All Ages"," Sudden",2009,14723.72,0.2836849,70243.39
"Mmult All Ages"," Sudden",2010,11595.45,0.214566,47293.43
"Mmult All Ages"," Sudden",2011,9398.264,0.2618685,33334.86
"Mmult All Ages"," Sudden",2012,6982.251,0.2061635,28619.7
"Mmult All Ages"," Sudden",2013,4955.893,0.08063895,25180.24
"Mmult All Ages"," Sudden",2014,4287.82,0.07049975,14348.8
"Mmult All Ages"," Sudden",2015,3161.384,0.06742506,6068.678
"Mmult All Ages"," Sudden",2016,2114.884,0.03322126,4801.135
"Mmult All Ages"," Sudden",2017,1335.456,0.1095343,7239.924
"Mmult All Ages"," Sudden",2018,914.0925,0.08191162,10375.89
"Mmult Young","Ramp4",1973,14364.31,1.190893,62195.35
"Mmult Young","Ramp4",1974,9282.249,1.702903,88487.43
"Mmult Young","Ramp4",1975,6911.692,2.283105,94907.28
"Mmult Young","Ramp4",1976,7640.768,1.988116,38881.29
"Mmult Young","Ramp4",1977,5614.603,1.941685,25779.83
"Mmult Young","Ramp4",1978,3084.326,1.94921,79095.74
"Mmult Young","Ramp4",1979,6492.895,1.064647,47938.69
"Mmult Young","Ramp4",1980,9603.476,0.8357313,40806.18
"Mmult Young","Ramp4",1981,9624.075,0.7521229,87886.79
"Mmult Young","Ramp4",1982,10934.21,1.155368,45595.36
"Mmult Young","Ramp4",1983,8398.554,1.474426,13882.37
"Mmult Young","Ramp4",1984,2336.4,2.547225,19124.24
"Mmult Young","Ramp4",1985,1767.479,1.732369,23503.88
