"case","ramplab","Year","SSB","F","R"
"Mmult Old","Ramp4",1973,22973.74,0.7668379,55632.37
"Mmult Old","Ramp4",1974,16110.14,1.031132,82903.73
"Mmult Old","Ramp4",1975,10690.96,1.55854,92966.2
"Mmult Old","Ramp4",1976,11023.29,1.432286,36330.17
"Mmult Old","Ramp4",1977,8907.895,1.272196,25614.67
"Mmult Old","Ramp4",1978,5818.098,1.092742,94943.75
"Mmult Old","Ramp4",1979,10066.24,0.7047426,55436.59
"Mmult Old","Ramp4",1980,15426.72,0.523601,42383.48
"Mmult Old","Ramp4",1981,15432.93,0.4747255,80789.96
"Mmult Old","Ramp4",1982,15437.05,0.8412385,38040.91
"Mmult Old","Ramp4",1983,11267.94,1.123009,11420.53
"Mmult Old","Ramp4",1984,4016.37,1.59676,20163.07
"Mmult Old","Ramp4",1985,3050.21,1.054616,26045.72
"Mmult Old","Ramp4",1986,4078.959,0.8612908,14664.11
"Mmult Old","Ramp4",1987,3956.67,0.983793,18960.52
"Mmult Old","Ramp4",1988,3905.936,0.7161798,35601.89
"Mmult Old","Ramp4",1989,6331.819,0.2873142,16070.68
"Mmult Old","Ramp4",1990,6044.499,0.7060751,20839.66
"Mmult Old","Ramp4",1991,4693.031,0.5279049,41625.79
"Mmult Old","Ramp4",1992,5827.16,0.9099382,26866.08
"Mmult Old","Ramp4",1993,5837.049,0.6537733,35080.12
"Mmult Old","Ramp4",1994,5788.54,0.671435,33307.33
"Mmult Old","Ramp4",1995,7320.186,0.2119309,33107.39
"Mmult Old","Ramp4",1996,11181.54,0.194141,32097.25
"Mmult Old","Ramp4",1997,13251.63,0.230403,57015.77
"Mmult Old","Ramp4",1998,15934.84,0.3238895,69683.75
"Mmult Old","Ramp4",1999,23275.69,0.2851802,68597.41
"Mmult Old","Ramp4",2000,27297.03,0.3536664,63408.91
"Mmult Old","Ramp4",2001,27599.45,0.3434474,72196.26
"Mmult Old","Ramp4",2002,29527.02,0.2472805,69340.86
