"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.068905533761606,0.0967762369479417,1.05991182205335,0.133478876970445,0.052683425062021,0.529143140995931,1.05991182205335,0.728817929153568,0.300469094739911,0.0180685132802034,-0.132112700995636,-0.0875255896361665
"peel.2",-0.105672115834741,0.0643363738693853,3.79475733587643,0.0612172092723998,0.0835480505410662,0.904919138072641,3.79475733587643,1.64074409036903,0.321686652172395,-0.152547957727578,-0.194876495908759,-0.132682688855957
"peel.3",-0.0678468135892352,-0.0568016189769232,3.152597075648,0.0549723639254584,0.0546287795160942,0.501551825347427,3.152597075648,0.640777461005337,-0.064919830103336,-0.179848010513105,-0.154024494988372,-0.110322752047105
"peel.4",-0.122324797773386,-0.081266998705102,1.45801177928701,0.0953670450055935,0.124162987090275,0.313501954611918,1.45801177928701,0.253102327823745,-0.144016230470687,-0.193909357695385,-0.0850608928346124,-0.0535066299122594
"peel.5",-0.178218181912658,-0.0342475894314157,0.957046345354632,0.120786050471425,0.216300580788199,0.278348533262983,0.957046345354632,0.103444598130218,-0.171679261827748,-0.00614608178644269,0.0170024849296445,0.0324711382422984
"Mohn.rho",-0.108593488574325,-0.00224071925922278,2.08446487164388,0.0931643091290644,0.106264764599531,0.50549291845818,2.08446487164388,0.67337728129638,0.0483080849021069,-0.102876578888462,-0.109814419959547,-0.0703133044418379
