"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.0726205184682663,0.0983676921767154,1.04746304173032,0.134141712778921,0.056904112791623,0.524144025221789,1.04746304173032,0.719419256044816,0.303229889183032,0.0205758867456311,-0.12893931412366,-0.0843040517508055
"peel.2",-0.113481356992292,0.0695362730665602,3.74745420987934,0.0659850673279235,0.0929950198116979,0.901060822935112,3.74745420987934,1.634974212244,0.32841096799708,-0.147349828349123,-0.189171558682026,-0.126660409928103
"peel.3",-0.0777309673775822,-0.0503199663272835,3.12760158518864,0.060211489342736,0.0656330550260888,0.502976979415018,3.12760158518864,0.642244570016253,-0.0576042008939919,-0.173531210702887,-0.147055331770808,-0.103063840125595
"peel.4",-0.130013271389881,-0.0755960807345388,1.44500892842706,0.0985787707270349,0.133846295332853,0.314192358814335,1.44500892842706,0.255427215959338,-0.137353133524045,-0.188431243865881,-0.0785027372283912,-0.0477796456352022
"peel.5",-0.183764424536356,-0.0288854191688686,0.948248926981652,0.123450075138879,0.224450736423776,0.278474168038682,0.948248926981652,0.105317849580936,-0.16567190288621,-0.000389587919349984,0.0233047452178113,0.0358231425356641
"Mohn.rho",-0.115522107752875,0.00262049980251693,2.0631553384414,0.0964734230630988,0.114765843877208,0.504169670884987,2.0631553384414,0.671476620769069,0.0542023239751732,-0.0978251968183219,-0.104072839317415,-0.0651969609808083
