"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.0389190511742338,0.113708228288618,0.672254650525252,0.250355245191951,0.0407076547443485,0.523840964940218,0.672254650525252,0.495185465910062,0.243304473756205,0.0121118275426176,-0.119150289252315,-0.0819531877495627
"peel.2",-0.0537188619101964,0.092497584388138,2.31762900080308,0.176756390052556,0.0574824406922851,1.23864167515791,2.31762900080308,1.12996995038738,0.235785698970719,-0.150758019000371,-0.183605654109807,-0.128698789250165
"peel.3",-0.0154588777883511,-0.0518234381191546,1.72600483379685,0.161267487212118,0.0176467410397334,0.646482349724217,1.72600483379685,0.317953648224463,-0.0991859161937854,-0.167189438509868,-0.141745172170847,-0.102135947932299
"peel.4",-0.0850055258896488,-0.0879138458779463,0.615693020492657,0.129765393229676,0.0938393959801382,0.261421491231625,0.615693020492657,0.0410635648486887,-0.163258147711697,-0.178678905970899,-0.0641344267177252,-0.0228149002972295
"peel.5",-0.155868431592335,-0.0693103071571866,0.2905335270048,0.0654395705333631,0.18300044478022,0.123150114709137,0.2905335270048,-0.0979000676607873,-0.202310115384828,0.0129736242580114,0.046154193949008,0.0940358957469649
"Mohn.rho",-0.0697941496709529,-0.000568355695506245,1.12442300652453,0.156716817243933,0.0785353354473451,0.558707319152622,1.12442300652453,0.377254512341962,0.00286719868732255,-0.094308182336102,-0.0924962696603374,-0.0483133858964584
