"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",-0.0441678999181079,0.0792440934033019,0.607091455656164,0.168531597167635,0.0460889571688255,0.427428873166881,0.607091455656164,0.422713730674038,0.207662763160295,0.021436139056905,-0.0872791884949193,-0.0610289810884078
"peel.2",-0.0620638711475724,0.0598217207184886,1.99756620049218,0.114236343093805,0.0668316521489801,0.928470915309617,1.99756620049218,0.939698396606833,0.201914834844071,-0.118141532537341,-0.141029878088555,-0.0977877084813977
"peel.3",-0.0394606990338606,-0.0527025505285027,1.36765898602628,0.0833738729305406,0.0428196385036733,0.435704615482159,1.36765898602628,0.205892314097413,-0.0926135690397224,-0.120440365087972,-0.0929736518189222,-0.0579334167683154
"peel.4",-0.0744672144227463,-0.0632006474152365,0.432209662132025,0.0660171730290664,0.080879754242247,0.153469533688646,0.432209662132025,-0.00444340146740496,-0.137487004034111,-0.119405241495023,0.0038900965448242,0.0372670927567901
"peel.5",-0.191246041770137,-0.00420247168371073,0.191373076666465,0.0465410315219461,0.232216104126866,0.0639338838055361,0.191373076666465,-0.127413365084291,-0.176025057098554,0.0999760620651208,0.151463192575142,0.215529252408713
"Mohn.rho",-0.0822811452584849,0.00379202889886813,0.919179876194622,0.0957400035485987,0.0937672212381184,0.401801564290568,0.919179876194622,0.287289534965318,0.000690393566395558,-0.047314987599662,-0.033185885856486,0.00720924776547635
