"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6"
"peel.1",1.09319919743402,-0.564990283701666,-0.475181940797419,-0.47044725930404,-0.349400718587253,-0.482804417016203,-0.475181940797419,-0.597138793266104,-0.510382133123884,-0.40190382118281,-0.291171902942699,-0.332588048583486
"peel.2",7.1877570704775,-0.87068452126485,-0.839264794102243,-0.844991587986051,-0.814027095004001,-0.8421929214747,-0.839264794102243,-0.87849654397473,-0.819100353004824,-0.718531974276749,-0.684511629302204,-0.820773146241678
"peel.3",2.54431457699961,-0.842612536832816,-0.945942257017828,-0.928998528912527,-0.676455628258699,-0.943017396153506,-0.945942257017828,-0.941928105022284,-0.842161133851453,-0.638492339442099,-0.55456112261357,-0.603054563067873
"peel.4",-0.754395435291099,0.204246297531377,-0.960096597999523,-0.921113220087894,1.98328176134975,-0.946422296555188,-0.960096597999523,-0.870547589683299,-0.435846909361264,0.551895427074595,2.40652605108449,5.88139743434819
"peel.5",-0.924949889478576,2.07730105922854,-0.960008746330545,-0.873348806011153,7.78046079360831,-0.923409392413779,-0.960008746330545,-0.661303252196111,0.613958841291964,7.26876194693365,10.9542942971692,44.2474877676645
"Mohn.rho",1.82918510402829,0.000652002992117229,-0.836098867249511,-0.807779880460333,1.58477182262162,-0.827569284722675,-0.836098867249511,-0.789882856828506,-0.398706337609892,1.21234584782132,2.36611513867905,9.67449388882394
