"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0137186794166104,-0.00370848711969127,0.00153314127759837,0.00695632846934677,-0.0105985744693507,0.0460141805002996,0.00153314127759837,0.241776281993743,0.129570422555693,-0.0364357197532246,-0.035852847326569,-0.0320464827834402,-0.00750469339943093,-0.00474299820128022,-0.00211805981040568
"peel.2",0.0327366123677942,-0.0387020493480447,1.08220952023083,-0.00780852217327583,-0.0260929953014382,0.237296062006571,1.08220952023083,0.480669911551445,-0.133916788992186,-0.199738114105014,-0.0923895570773629,-0.0176212318760898,0.000760890241582813,0.00403660761069548,0.00873625006684592
"peel.3",0.0180890115324451,-0.0293629623805868,1.3241870402949,-0.0232264686855514,-0.0133882474056941,0.226119491569587,1.3241870402949,-0.261797191006197,-0.274025838589855,-0.182863898585078,-0.0248355922717719,0.0326485581268316,0.0344307531734363,0.0400650918037622,0.0376393437159696
"peel.4",0.00061844523141863,0.0121454845609728,-0.405036037547361,-0.0103788763894915,0.00103055131005643,-0.152947181239438,-0.405036037547361,-0.151010022136871,-0.227753370304653,-0.109393291582372,0.0497723625779004,0.0640024191422225,0.0685413202108415,0.0620356033055676,0.0539773557632266
"peel.5",-0.0211276550114414,0.057477771760797,0.753152985492092,0.0724762314077171,0.0202201548877307,0.22891345795332,0.753152985492092,0.0962959669908706,0.0138495088322904,0.0736074934371137,0.0546956451548262,0.0741926283701446,0.0530752721525892,0.0369354365094985,0.0322967353666097
"Mohn.rho",0.00880701870736537,-0.000430048505310603,0.551209329949611,0.00760373852574902,-0.00576582219573918,0.117079202158068,0.551209329949611,0.081186989478598,-0.0984552132997421,-0.090964706117715,-0.00972199778859542,0.0242351781959337,0.0298607084758038,0.0276659482056487,0.0261063250204492
