"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0480184275380002,-0.04868250218665,-0.251331533387704,-0.0563091183980449,-0.0367535658420609,-0.145220692651924,-0.251331533387704,-0.0401250626042391,-0.0640071530666059,-0.149223173790623,-0.118446941967819,-0.0819797688639458,-0.0392052279660185,-0.0198375074399792,0.00318064589535972
"peel.2",0.016562813843815,-0.0561986851387658,0.34730107227493,-0.0552046698975062,-0.0157377639951825,0.0268381820862373,0.34730107227493,0.0236356689095854,-0.333722900176063,-0.329966968018121,-0.183421500520861,-0.059181251494372,0.00136383135573811,0.032965250370424,0.0947500231889434
"peel.3",-0.0658326542799452,-0.0218396441241734,0.275158376772587,-0.0837145474595721,0.0521095997489427,-0.0832648282534795,0.275158376772587,-0.534865609807473,-0.472029536190048,-0.324113102099393,-0.113985997603796,0.0255559355295832,0.0898815892653319,0.147628166367391,0.251531192413019
"peel.4",-0.161922846325606,0.0863087375401804,-0.679721908893272,-0.0504292252932807,0.152860233983892,-0.457699182355424,-0.679721908893272,-0.471171448601508,-0.427703950028875,-0.2430218811556,-0.00761720260285314,0.109418305397915,0.200573608849256,0.267782684751643,0.39974987192561
"peel.5",-0.143036657605363,0.085392061407391,-0.213368703321698,0.0073165459023278,0.137839833523528,-0.212493263064677,-0.213368703321698,-0.383574587866969,-0.296846044268644,-0.115985980021081,-0.0267913942770573,0.106891926762113,0.182524445209104,0.241387755714733,0.406966285570667
"Mohn.rho",-0.0612421833658199,0.00899599349959643,-0.104392539311031,-0.0476682030292152,0.0580636674838239,-0.174367956847853,-0.104392539311031,-0.281220207994121,-0.318861916746047,-0.232462221016964,-0.0900526073944773,0.0201410294662586,0.0870276493426822,0.133985269952842,0.23123560379872
