"Scenario","F_Terminal","F_Target","F_Ratio","SSB_Terminal","SSB_Target","SSB_Ratio"
"orig",0.1065155,0.199169578771464,0.534798038219584,20756.96,27329.8204244296,0.759498587171313
"orig.rhoadj",0.13110784021675,0.199169578771464,0.658272418034224,16692.0186431395,27329.8204244296,0.610762104686895
"Cmult Sudden2000",0.4207471,0.217863481057097,1.93124197758381,15710.39,34011.611774796,0.461912540458963
"Cmult Sudden2005",0.4684721,0.221887415329342,2.1113054082164,12254.85,29962.457503967,0.409006837919668
"Cmult Sudden2010",0.4875117,0.218627807187394,2.22987051039731,11666.8,28194.411135961,0.413798321367294
"Cmult Sudden2015",0.7753831,0.210780911588207,3.67862105803409,12814.65,27755.9462823974,0.461690257994445
"CmultRamp42000",0.4148641,0.218136996527467,1.90185116052867,17747.48,36612.6570627119,0.484736192994714
"CmultRamp42005",0.4460276,0.221050376468796,2.01776448936725,13348.23,30889.2177802133,0.432132341290639
"CmultRamp42010",0.4914554,0.220427399456663,2.229556766588,11673.78,29032.4250757347,0.402094553574064
"CmultRamp42015",0.6012265,0.216316922554482,2.77937802045318,11713.03,27707.2236868898,0.422742824483791
"CmultRamp92000",0.3912581,0.217001476523141,1.8030204506847,23715.85,46837.7878033708,0.506340096581018
"CmultRamp92005",0.4413624,0.220330557743955,2.00318287449218,15182.95,33821.2065310714,0.448918047499326
"CmultRamp92010",0.4597411,0.22134630536604,2.07702179279535,12440.02,30036.7563285899,0.414159900087454
"CmultRamp92015",0.5485214,0.21964178354007,2.49734541014565,11483.19,28406.9820493485,0.404238295361734
"Mmult All Ages Sudden2000",0.2433674,0.234075995301154,1.03969396642698,11076.98,31670.9321286604,0.349752257211779
"Mmult All Ages Sudden2005",0.223693,0.223480498234543,1.00095087386656,11419.63,29887.3978507874,0.38208846608234
"Mmult All Ages Sudden2010",0.2209051,0.216070431610796,1.02237542801744,11293.12,28151.7787951127,0.401151205477664
"Mmult All Ages Sudden2015",0.2448314,0.208610610465751,1.17362870207503,10304.27,28662.382282178,0.35950500898898
"Mmult All AgesRamp42000",0.2325808,0.234519908979399,0.991731580538994,11568.45,32774.6450573241,0.352969497602989
"Mmult All AgesRamp42005",0.2231701,0.22627102030862,0.986295548124586,11561.19,30431.8509898757,0.379904265561968
"Mmult All AgesRamp42010",0.211871,0.217909624245609,0.972288400448058,11765.18,28546.627770476,0.412139048247513
"Mmult All AgesRamp42015",0.2258055,0.211862958962319,1.06580924341834,11017.52,27901.1626659268,0.39487673441848
"Mmult All AgesRamp92000",0.2436902,0.239215431603954,1.0187060189472,11387.85,34111.3675894389,0.333843255335378
"Mmult All AgesRamp92005",0.2418487,0.232593178235062,1.03979274815869,11075.13,31522.5387243819,0.351340039482088
"Mmult All AgesRamp92010",0.2174791,0.222075171354613,0.979303983752087,11656.57,29854.2320949145,0.390449500189477
"Mmult All AgesRamp92015",0.2272468,0.216712844896056,1.04860789451127,11064.04,28350.8140418667,0.390254755424705
"Mmult Old Ages Sudden2000",0.1995211,0.22180304366203,0.899541758786764,13025.88,29886.6114990781,0.435843320692337
"Mmult Old Ages Sudden2005",0.2040097,0.219108194024702,0.931091148407713,12556.36,29093.0089600738,0.431593721269323
"Mmult Old Ages Sudden2010",0.2024185,0.213630387077518,0.947517358223717,12372.89,28395.0148568327,0.43574162797181
"Mmult Old Ages Sudden2015",0.2602983,0.210299975859836,1.23774764564637,10082.82,27867.5460106341,0.361812267077713
"Mmult Old AgesRamp42000",0.1935586,0.222029134358546,0.871771177954646,13413.65,30212.998935674,0.443969498974887
"Mmult Old AgesRamp42005",0.1988977,0.219842520875161,0.904728071749801,12899.77,29369.8898613624,0.439217513613162
"Mmult Old AgesRamp42010",0.2046425,0.215998475821279,0.947425666879821,12366.39,28771.8577005647,0.429808534739044
"Mmult Old AgesRamp42015",0.2200983,0.211782928844331,1.03926365170717,11526.11,28102.2567982305,0.410148910201609
"Mmult Old AgesRamp92000",0.1872831,0.22167482667492,0.844855064552032,13816.47,30665.3441689093,0.450556495433308
"Mmult Old AgesRamp92005",0.1921778,0.219825509867527,0.874228837753235,13327.11,29700.0699407925,0.448723185722047
"Mmult Old AgesRamp92010",0.2012726,0.217716592812821,0.924470649662616,12649.33,29073.1657698155,0.435086089356421
"Mmult Old AgesRamp92015",0.2104389,0.214143269191217,0.98270144466736,12034.39,28499.15048093,0.422271885193656
"Mmult Young Ages Sudden2000",0.358783,0.245179098122843,1.46335068016376,7893.376,41327.3983003806,0.190996199243621
"Mmult Young Ages Sudden2005",0.3066063,0.230032455176852,1.33288278718878,8462.794,35786.5603961622,0.236479670197853
"Mmult Young Ages Sudden2010",0.3614393,0.221755199123396,1.62990225901706,6960.566,36676.3342925863,0.189783579364064
"Mmult Young Ages Sudden2015",0.1280229,0.198433907449396,0.645166451870874,17206.03,30383.517478636,0.566294867343727
"Mmult Young AgesRamp42000",0.3751387,0.249103828263763,1.5059531706706,7786.856,47471.4152750023,0.164032522622102
"Mmult Young AgesRamp42005",0.3286108,0.235970347797265,1.39259361639085,8159.066,35813.6893045738,0.227819757149621
"Mmult Young AgesRamp42010",0.3112895,0.224939916771016,1.38387843504399,8137.48,38653.0435128554,0.210526242190828
"Mmult Young AgesRamp42015",0.1928324,0.206178796446717,0.935267851608755,11867.96,32988.649105273,0.359758896526108
"Mmult Young AgesRamp92000",0.3599553,0.249929340445367,1.44022826355069,8148.962,55768.0838703547,0.146122323638446
"Mmult Young AgesRamp92005",0.3452709,0.242047460170514,1.42645950408555,8043.651,39813.1082786397,0.202035242857829
"Mmult Young AgesRamp92010",0.3207045,0.231200594756269,1.38712662196257,8142.708,37232.508825879,0.218698880542272
"Mmult Young AgesRamp92015",0.3122307,0.221240408204511,1.41127338596925,7907.427,36670.1415259795,0.215636664352601
"Rose",0.309970022916667,0.222305735819548,1.39497437106429,11744.35825,32569.9120449003,0.37152087791481
