"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.078317832990478,-0.0833113038409268,-0.465673093793842,-0.115930653649446,-0.0630646328604878,-0.33721509349624,-0.465673093793842,-0.270800918866452,-0.229756890993058,-0.259750954023377,-0.204278729108448,-0.144787548816997,-0.0860268971193291,-0.0534545352132321,-0.0110079632612703
"peel.2",0.0197410885094531,-0.0683869995199993,-0.162050750778718,-0.120409232716141,-0.0251864243863912,-0.255164896126125,-0.162050750778718,-0.30320053829573,-0.497921774493307,-0.453098685543145,-0.282556895574458,-0.128010419058257,-0.0396363880925435,0.00942812931834463,0.109366604457637
"peel.3",-0.0627650390496544,-0.0352522970473852,-0.318187353321383,-0.167665170397938,0.0381817844564717,-0.415092712723029,-0.318187353321383,-0.711070681244258,-0.625171586377795,-0.458545196756034,-0.221718131265105,-0.0448269362199588,0.0476032886307403,0.126877938288248,0.279505773270559
"peel.4",-0.176849683662667,0.0911867709035296,-0.828581742296081,-0.121473145234413,0.163018017985583,-0.645448825824878,-0.828581742296081,-0.670083806657723,-0.581442828188242,-0.369466155752897,-0.0940975496297414,0.0658559032893734,0.189434620113521,0.283531161219356,0.467424358713374
"peel.5",-0.1788970551505,0.109326820978458,-0.589501992677316,-0.0566059574050188,0.173195930833491,-0.487075535057851,-0.589501992677316,-0.608581174989178,-0.467169797844628,-0.229996495427525,-0.0719572560305907,0.116689833086637,0.235578682598,0.326917842672936,0.563587009242742
"Mohn.rho",-0.0640905712725782,0.00271259829473527,-0.472798986573468,-0.116416831880591,0.0572289352057334,-0.427999412645625,-0.472798986573468,-0.512747424010668,-0.480292575579406,-0.354171497500595,-0.174921712321669,-0.0270158335438405,0.0693906612260778,0.13866010725713,0.281775156484608
