"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",-0.0857680368547184,0.096439369304461,0.0966815571155072,0.100655372546235,0.0889513627889713,0.127345163970901,0.0966815571155072,0.337722102779823,0.203204621482124,0.0248479031106007,0.0226460458769251,0.046271448113677,0.0855844747939692,0.100232456009064,0.112593375810172
"peel.2",-0.13366017383859,0.148198811774141,1.31318473979948,0.162800723658285,0.148148102092722,0.369785690350217,1.31318473979948,0.61791581703137,-0.0566642458902758,-0.126076236961762,0.00895834263517449,0.127282116877761,0.175378545567284,0.194557737071147,0.216549656122139
"peel.3",-0.19506070875397,0.227939960413228,1.67416252027207,0.215929122757666,0.223091340983726,0.427767692403098,1.67416252027207,-0.169504737304421,-0.187206125949476,-0.0709158991389456,0.137141089053412,0.254684522471992,0.289748149874514,0.318780915331008,0.330349110595249
"peel.4",-0.242427711391271,0.322747355574255,-0.326527640820507,0.276404020506279,0.288364294061553,0.0144179409870779,-0.326527640820507,-0.0427435634563969,-0.116204757959911,0.0448950787544957,0.274640702683357,0.35339595361991,0.400092873606953,0.415606149835613,0.410748406709249
"peel.5",-0.280950249436998,0.422304749989492,1.08400692261051,0.417496831148949,0.348602692952364,0.525044791967718,1.08400692261051,0.29374581894139,0.213492776896478,0.32180925799409,0.350020663239981,0.45183410421154,0.46807532036375,0.463505810214514,0.454902571353778
"Mohn.rho",-0.18757337605511,0.243526049411115,0.768301619795412,0.234657214123483,0.219431558575867,0.292872255935802,0.768301619795412,0.207427087598353,0.0113244537157879,0.0389120207516957,0.15868136869777,0.246693629058976,0.283775872841294,0.298536613692269,0.305028624118117
