"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0250248642566211,-0.0176773441836636,-0.0842674275784752,-0.010147669415084,-0.0193114096889458,-0.00823203082660301,-0.0842674275784752,0.147656619187938,0.0685680124713147,-0.0733637403903491,-0.064804942396303,-0.0470130125735695,-0.0154666541379879,-0.00646317610657816,0.000890987252767383
"peel.2",0.0307322138059716,-0.0487858804025306,0.816665704685896,-0.0206013159403581,-0.0261379778147191,0.192962185250213,0.816665704685896,0.322817152675092,-0.200814988544038,-0.245109542147536,-0.12392399450672,-0.0288414216886453,0.00459359470050846,0.0166865946035609,0.0329856915093477
"peel.3",-0.00432938123650273,-0.0366955396097358,0.931933052337008,-0.0440652247218075,0.00127931979954856,0.151714631708318,0.931933052337008,-0.360112598884498,-0.342939887040859,-0.230832425204927,-0.0532292616647508,0.0368974198181547,0.0586979603610088,0.0783843574021552,0.0940267933460895
"peel.4",-0.0443582705288834,0.0214784180112998,-0.510603253654895,-0.0281510994247297,0.0357723727569073,-0.25747264848734,-0.510603253654895,-0.267313706994986,-0.29548871901818,-0.152247688152558,0.0358395765782443,0.0885409660623697,0.116844571704999,0.127053538496604,0.136344390011604
"peel.5",-0.0454264803479812,0.0535641182933642,0.365889309407009,0.0532435214089315,0.0393308028552621,0.102462766766537,0.365889309407009,-0.0829844531591432,-0.0935526109690442,0.0118755233207445,0.0316506733024384,0.0914868134996867,0.0945695878695414,0.0934659867873271,0.108001687295551
"Mohn.rho",-0.00767141081015494,-0.00562324557825318,0.303923477039309,-0.00994435761860955,0.00618662158161061,0.0362869808822249,0.303923477039309,-0.0479873974351194,-0.172845638620161,-0.137935574514925,-0.0348935897374182,0.0282141530235992,0.051847812099614,0.0618254602366138,0.0744499098830718
