"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0668823663172737,-0.0468803984976797,-0.0339224539914784,-0.0324885114426907,-0.0481463949676277,0.0065868609512251,-0.0339224539914784,0.191868091472582,0.0808139729820238,-0.0774199590256806,-0.0792392549063248,-0.0666377838640468,-0.0434485585724098,-0.042003410835595,-0.0434078276416661
"peel.2",0.0719348353237557,-0.0775213714120378,0.958146886299448,-0.0473620349717998,-0.0549112501097785,0.176397077308362,0.958146886299448,0.37893410705234,-0.193691993283262,-0.254908334142419,-0.148058138835218,-0.0584711957327322,-0.0327507282242734,-0.0237567648005808,-0.00505406199703139
"peel.3",-0.0315419707076717,-0.0100810610851017,1.14997505845233,-0.0165378894476786,0.0281317938128957,0.171970533701041,1.14997505845233,-0.316030993862914,-0.325457421790575,-0.229323585554169,-0.0622011101964464,0.0365410656873997,0.0706316174140532,0.10602561816833,0.150974125083047
"peel.4",-0.114952345549011,0.0847778939691898,-0.444999406071645,0.0377991303101969,0.104440087790683,-0.182585234041836,-0.444999406071645,-0.208734517715865,-0.272306691996442,-0.146436510393569,0.0340923452913405,0.110398736554517,0.168975638793865,0.206258148467547,0.259453189654136
"peel.5",-0.0839016402909958,0.076474553109765,0.568065301301812,0.0777010139960011,0.0745693025562956,0.157674867613798,0.568065301301812,-0.00498202109618533,-0.0662302668288569,0.00808532088239577,0.014663044625411,0.0928443469749903,0.112727061640919,0.125609647772585,0.171401730716749
"Mohn.rho",-0.0183157509813297,0.00535392321682712,0.439453077198093,0.00382234168880579,0.0208167078164937,0.066008821106518,0.439453077198093,0.00821093316999127,-0.155374480183422,-0.140000613646688,-0.0481486228042475,0.0229350339240257,0.0552270062104307,0.0744266477544572,0.106673431163047
