"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.043230315500347,-0.0397411208120536,-0.167227997414629,-0.0373322800794499,-0.0345109220419957,-0.0712476549622516,-0.167227997414629,0.0568796779161825,0.00145715789570884,-0.120156907274277,-0.107301170568878,-0.0782461511138596,-0.0394159426081544,-0.0226181763067051,-0.00486158277046522
"peel.2",0.0500522479380827,-0.0645368862418473,0.590590500969564,-0.0520555229646301,-0.0429012583661855,0.0724616481701999,0.590590500969564,0.183739773175062,-0.270455987886596,-0.30224785182817,-0.177494386516551,-0.0719838607608086,-0.0253441222966806,-0.00450461114355302,0.0280023872174419
"peel.3",0.0136764653476939,-0.0435511535379381,0.657061324636223,-0.0607743127994162,-0.0137929368833715,0.0182908430924266,0.657061324636223,-0.437441128101163,-0.411293260044157,-0.295197760417415,-0.115189423791059,-0.00939993924167819,0.027381259849825,0.0565573090791009,0.0948814311008275
"peel.4",-0.0487177528418129,0.0318779678152012,-0.5761770118916,-0.0162183350100799,0.0436870610650237,-0.293263928330526,-0.5761770118916,-0.351791842872597,-0.361608235962948,-0.212863383005086,-0.0135939009166185,0.0591962418165845,0.104183773581649,0.128047066978864,0.165005828287693
"peel.5",-0.0960236546500669,0.102798835895481,0.256665643650622,0.0905829439520562,0.0953112620939669,0.0564098428007525,0.256665643650622,-0.147376184211125,-0.141224105788656,-0.0136189428346465,0.0351622635287773,0.122797287487778,0.151064547324161,0.168251496002,0.214709306196581
"Mohn.rho",-0.00755647574115123,-0.00263047137623142,0.152182491990036,-0.015159501380304,0.00955864117348758,-0.0434698498458797,0.152182491990036,-0.139197940818728,-0.23662488635733,-0.188816969071919,-0.0756833236528659,0.00447271563760326,0.04357390317016,0.0651466169219414,0.0995474740064156
