"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0555948600787136,-0.0517868484171622,-0.225137555935625,-0.0558393261022225,-0.0421067783570877,-0.126193263928094,-0.225137555935625,-0.00640774900755704,-0.0384118527906591,-0.1309932838581,-0.104492899549429,-0.0747277264226898,-0.0376967251844581,-0.0238353456437497,-0.0105062423539989
"peel.2",0.0184331673288556,-0.0615947332165803,0.429612508867493,-0.0470899425806107,-0.0175005927609579,0.0889138032852163,0.429612508867493,0.0830599651170396,-0.302533260929823,-0.303622744654038,-0.160940933486529,-0.04372193126488,0.00912128742074766,0.0358191295806405,0.0834025065474427
"peel.3",-0.0811129998621722,-0.0235125261678964,0.403275371999318,-0.0779484047190369,0.0649065905175794,0.000245001123488246,0.403275371999318,-0.495922126961856,-0.433871640426368,-0.285234711556972,-0.0764964442685387,0.0559243713093255,0.11628296924639,0.171994055035143,0.256863029317018
"peel.4",-0.173354599874527,0.0830766634738029,-0.646062200924267,-0.0604156215219522,0.161299137459699,-0.432713822670811,-0.646062200924267,-0.417195089806029,-0.379077700568541,-0.193198268885456,0.0370893211497522,0.145569091036738,0.233292119206103,0.296093818372765,0.395012509160026
"peel.5",-0.139770317628746,0.0816701385775583,-0.0937008703231277,0.0147445884124647,0.130366989106686,-0.131969322267644,-0.0937008703231277,-0.307108470588235,-0.228621508381642,-0.0566165437819141,0.0143410621264799,0.133537454468669,0.19447333080694,0.238771604473612,0.352006566103958
"Mohn.rho",-0.0640419779915751,0.00557053884994446,-0.0264025492632419,-0.0453097413022715,0.0593930691931837,-0.120343520891569,-0.0264025492632419,-0.228714694249328,-0.276503192619406,-0.193933110547296,-0.0580999788056528,0.0433162518254327,0.103094596299145,0.143768652363682,0.215355673754889
