"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",0.0647882266195862,-0.0478636679050951,-0.0499010046656094,-0.0360262524749557,-0.0477006818953632,-0.0062193566933828,-0.0499010046656094,0.173855039817055,0.0647913854126005,-0.0878969894157508,-0.0856410689326861,-0.0688012160515358,-0.0424171335504744,-0.0385145546203487,-0.0382504078925299
"peel.2",0.0645918589391486,-0.0713438739318164,0.925345313529372,-0.0469709524418234,-0.0499894631455842,0.152676885251001,0.925345313529372,0.352052342120692,-0.209809683673184,-0.266154971751522,-0.15362706282932,-0.0580378084674501,-0.027148046006837,-0.0158779032923881,0.00443635826013188
"peel.3",-0.0224912742620729,-0.0133630991244879,1.07236945594256,-0.0226137347211533,0.0205607289483745,0.132995814907378,1.07236945594256,-0.342200150148073,-0.349104744067415,-0.248764643018842,-0.0755959397621877,0.0292261315684806,0.0643449542118817,0.0983959455783285,0.140553160058379
"peel.4",-0.0954543752526705,0.0700723389946215,-0.474257615715032,0.0251742003686582,0.086060246489282,-0.204616152034654,-0.474257615715032,-0.248419909395014,-0.304019588174291,-0.172997850286968,0.0155209727606168,0.0967769139991566,0.152111141327804,0.185423352369342,0.233879358856537
"peel.5",-0.05431446305017,0.0499589341834337,0.456551022519892,0.049198683731891,0.0473596996862804,0.0983958620647385,0.456551022519892,-0.0663980605419806,-0.113803937299958,-0.0276812878732659,-0.0089120214219934,0.0731495019697798,0.0908151225428168,0.102194150350261,0.145471896222799
"Mohn.rho",-0.00857600540123574,-0.00250787355666884,0.386021434322238,-0.00624761110747666,0.0112581060165979,0.0346466106990161,0.386021434322238,-0.0262221476294641,-0.182389313560449,-0.16069914846927,-0.061651024037114,0.0144627046036862,0.0475412077050382,0.0663241980770389,0.0972180731010634
