"","f.rho","ssb.rho","recr.rho","jan1b.rho","explb.rho","stockn.rho","Age.1","Age.2","Age.3","Age.4","Age.5","Age.6","Age.7","Age.8","Age.9"
"peel.1",-0.011384613788812,0.00475170067046229,-0.471059907446509,-0.0251307097215867,0.00759006252974624,-0.291727319827006,-0.471059907446509,-0.277471098886931,-0.227443873273431,-0.242399346098169,-0.165831978510465,-0.0841829084382783,-0.00317517965945965,0.0266930881995763,0.0643928515357252
"peel.2",-0.0385211320942567,0.0164210971857019,-0.205040288286266,-0.039188666008597,0.0237711619898294,-0.24669173861309,-0.205040288286266,-0.32053719530998,-0.491183792961955,-0.418549961616631,-0.205655771790777,-0.00391629560325678,0.064981359371293,0.102376852368778,0.154046133910533
"peel.3",-0.0539397030407081,0.0173290669817777,-0.296984009244832,-0.10601885014571,0.0185027925330281,-0.371876258938708,-0.296984009244832,-0.692566113170803,-0.581022659321903,-0.367123476226116,-0.0421425205148372,0.0983858266082436,0.157952406740851,0.202476144259535,0.243359009354166
"peel.4",-0.134398619454736,0.156840495731184,-0.796195706066739,0.0376133027882546,0.136494529796027,-0.472407455260526,-0.796195706066739,-0.571456479051602,-0.447124970243549,-0.125184744119686,0.113402341434164,0.222053798868195,0.284787416603443,0.311645750621548,0.338543216431539
"peel.5",-0.206534550418017,0.304928519901457,-0.0633251452216718,0.255342345936066,0.231841220759136,0.0284060172843314,-0.0633251452216718,-0.187626965563814,0.0205181000354263,0.158758250176,0.224249111244174,0.348528207079763,0.376864063931686,0.382203918955079,0.416384558786029
"Mohn.rho",-0.0889557237593061,0.100054176094117,-0.366521011253204,0.0245234845696855,0.0836399535215534,-0.270859351071,-0.366521011253204,-0.409931570396626,-0.345251439153082,-0.198899855576921,-0.0151957636275482,0.116173725702933,0.176282013397563,0.205079150880903,0.243345154003598
