"case","ramplab","change.year","Year","SSB","F","R"
"Cmult"," Sudden",2000,1963,19488.98,0.3038741,4070.43
"Cmult"," Sudden",2000,1964,19050.06,0.2434393,3361.543
"Cmult"," Sudden",2000,1965,19088.87,0.2205114,4708.494
"Cmult"," Sudden",2000,1966,19423.95,0.15289,5404.245
"Cmult"," Sudden",2000,1967,20828.73,0.1142707,5669.473
"Cmult"," Sudden",2000,1968,23221.95,0.1052803,6729.608
"Cmult"," Sudden",2000,1969,26161.64,0.09022732,5743.06
"Cmult"," Sudden",2000,1970,29545.48,0.1044517,7371.199
"Cmult"," Sudden",2000,1971,32639.68,0.1178499,8980.411
"Cmult"," Sudden",2000,1972,35398.18,0.1127308,5781.241
"Cmult"," Sudden",2000,1973,38996.03,0.1060418,5367.299
"Cmult"," Sudden",2000,1974,42397.07,0.1185478,6497.882
"Cmult"," Sudden",2000,1975,44260.39,0.1080759,5324.643
"Cmult"," Sudden",2000,1976,45515.87,0.117509,5482.581
"Cmult"," Sudden",2000,1977,45311.92,0.15363,7273.258
"Cmult"," Sudden",2000,1978,44022.59,0.1541974,7112.952
"Cmult"," Sudden",2000,1979,43146.78,0.1383756,4014.649
"Cmult"," Sudden",2000,1980,42183.16,0.1649278,7438.966
"Cmult"," Sudden",2000,1981,39994.42,0.2238932,6037.668
"Cmult"," Sudden",2000,1982,36130.35,0.2867778,7006.92
"Cmult"," Sudden",2000,1983,31836.93,0.2954772,4307.524
"Cmult"," Sudden",2000,1984,28265.95,0.3579737,6316.927
"Cmult"," Sudden",2000,1985,24121.43,0.4477286,12070.71
"Cmult"," Sudden",2000,1986,19770.04,0.4890856,6313.503
"Cmult"," Sudden",2000,1987,17260.47,0.5950683,9336.296
"Cmult"," Sudden",2000,1988,15581.37,0.6453964,8889.961
"Cmult"," Sudden",2000,1989,13887.93,0.5488451,13000.05
"Cmult"," Sudden",2000,1990,14252.07,0.5767656,13876.17
"Cmult"," Sudden",2000,1991,14448.07,0.4923462,8836.827
"Cmult"," Sudden",2000,1992,15705.4,0.7496028,7834.059
"Cmult"," Sudden",2000,1993,14098.05,0.8431464,7934.853
"Cmult"," Sudden",2000,1994,11925.05,0.5307243,5891.218
"Cmult"," Sudden",2000,1995,11726.31,0.4525048,4140.339
"Cmult"," Sudden",2000,1996,13096.68,0.303434,5907.409
"Cmult"," Sudden",2000,1997,14705.5,0.1805471,8555.612
"Cmult"," Sudden",2000,1998,18642.56,0.169228,9130.338
"Cmult"," Sudden",2000,1999,21456.22,0.2080376,12599.5
"Cmult"," Sudden",2000,2000,23047.54,0.4745421,5408.822
"Cmult"," Sudden",2000,2001,24542.81,0.5261128,4436.376
"Cmult"," Sudden",2000,2002,27290.46,0.4248853,4500.288
"Cmult"," Sudden",2000,2003,26667.01,0.5835022,4132.624
"Cmult"," Sudden",2000,2004,21858.53,0.5072929,3697.465
"Cmult"," Sudden",2000,2005,16837.93,0.5391639,5902.656
"Cmult"," Sudden",2000,2006,15108.74,0.3936824,7067.848
"Cmult"," Sudden",2000,2007,18199.25,0.2739635,5532.54
"Cmult"," Sudden",2000,2008,19072.35,0.2780786,6064.172
"Cmult"," Sudden",2000,2009,18625.78,0.3402837,5835.518
"Cmult"," Sudden",2000,2010,22798.92,0.2832275,4841.65
"Cmult"," Sudden",2000,2011,26033.34,0.3852337,4351.513
"Cmult"," Sudden",2000,2012,24515.27,0.3969865,4088.152
"Cmult"," Sudden",2000,2013,22670.29,0.3377401,4515.632
"Cmult"," Sudden",2000,2014,19659.59,0.3377675,4021.376
"Cmult"," Sudden",2000,2015,17451.89,0.3089064,4407.999
"Cmult"," Sudden",2000,2016,18882.62,0.224793,2692.284
"Cmult"," Sudden",2000,2017,19001.45,0.3392856,3999.507
"Cmult"," Sudden",2000,2018,15710.39,0.4207471,4874.557
"Cmult"," Sudden",2005,1963,17250.48,0.3058615,3478.393
"Cmult"," Sudden",2005,1964,16716.93,0.2890965,2916.419
"Cmult"," Sudden",2005,1965,16163.63,0.2700632,4089.188
"Cmult"," Sudden",2005,1966,15939.92,0.1930293,4701.958
"Cmult"," Sudden",2005,1967,16767.74,0.1467897,4943.652
"Cmult"," Sudden",2005,1968,18523.88,0.1359121,5900.007
"Cmult"," Sudden",2005,1969,20809.76,0.1168054,5080.439
"Cmult"," Sudden",2005,1970,23531.72,0.1347077,6579.906
"Cmult"," Sudden",2005,1971,25993.07,0.1514743,8051.158
"Cmult"," Sudden",2005,1972,28194.8,0.1444071,5181.41
"Cmult"," Sudden",2005,1973,31150.82,0.1352578,4811.187
