"scenario","change.year","ramp","cmult","mmult","mselxlab","ssbrho"
"Base Case",2018,0,1,1,"All Ages",2.144444615
"Sudden Cmults",2000,0,1.5,1,"All Ages",1.879638802
"Sudden Cmults",2000,0,2,1,"All Ages",1.492667913
"Sudden Cmults",2000,0,2.5,1,"All Ages",1.218669473
"Sudden Cmults",2000,0,3,1,"All Ages",1.047639694
"Sudden Cmults",2000,0,3.5,1,"All Ages",0.935750874
"Sudden Cmults",2000,0,4,1,"All Ages",0.853883084
"Sudden Cmults",2000,0,4.5,1,"All Ages",0.789280799
"Sudden Cmults",2000,0,5,1,"All Ages",0.735718687
"Sudden Cmults",2005,0,1.5,1,"All Ages",1.727927922
"Sudden Cmults",2005,0,2,1,"All Ages",1.244260772
"Sudden Cmults",2005,0,2.5,1,"All Ages",0.985988662
"Sudden Cmults",2005,0,3,1,"All Ages",0.837586362
"Sudden Cmults",2005,0,3.5,1,"All Ages",0.732451885
"Sudden Cmults",2005,0,4,1,"All Ages",0.64950601
"Sudden Cmults",2005,0,4.5,1,"All Ages",0.580235806
"Sudden Cmults",2005,0,5,1,"All Ages",0.520448988
"Sudden Cmults",2010,0,1.5,1,"All Ages",2.173322232
"Sudden Cmults",2010,0,2,1,"All Ages",1.603466873
"Sudden Cmults",2010,0,2.5,1,"All Ages",1.10436667
"Sudden Cmults",2010,0,3,1,"All Ages",0.812394621
"Sudden Cmults",2010,0,3.5,1,"All Ages",0.667723491
"Sudden Cmults",2010,0,4,1,"All Ages",0.562734305
"Sudden Cmults",2010,0,4.5,1,"All Ages",0.477451046
"Sudden Cmults",2010,0,5,1,"All Ages",0.40484566
"Sudden Cmults",2000,0,5.5,1,"All Ages",0.689804392
"Sudden Cmults",2000,0,6,1,"All Ages",0.649514343
"Sudden Cmults",2000,0,6.5,1,"All Ages",0.613552868
"Sudden Cmults",2000,0,7,1,"All Ages",0.58104119
"Sudden Cmults",2000,0,7.5,1,"All Ages",0.551354519
"Sudden Cmults",2000,0,8,1,"All Ages",0.524032408
"Sudden Cmults",2005,0,5.5,1,"All Ages",0.46776092
"Sudden Cmults",2005,0,6,1,"All Ages",0.420662233
"Sudden Cmults",2005,0,6.5,1,"All Ages",0.378120945
"Sudden Cmults",2005,0,7,1,"All Ages",0.339388861
"Sudden Cmults",2005,0,7.5,1,"All Ages",0.303899165
"Sudden Cmults",2005,0,8,1,"All Ages",0.271208243
"Sudden Cmults",2010,0,5.5,1,"All Ages",0.341487182
"Sudden Cmults",2010,0,6,1,"All Ages",0.28534254
"Sudden Cmults",2010,0,6.5,1,"All Ages",0.235053768
"Sudden Cmults",2010,0,7,1,"All Ages",0.189641297
