"scenario","change.year","ramp","cmult","mmult","mselxlab","ssbrho"
"Sudden Cmults",2010,0,7.5,1,"All Ages",0.148361532
"Sudden Cmults",2010,0,8,1,"All Ages",0.110630788
"Sudden Cmults",2000,0,8.5,1,"All Ages",0.498724174
"Sudden Cmults",2000,0,9,1,"All Ages",0.475155945
"Sudden Cmults",2000,0,9.5,1,"All Ages",0.453108783
"Sudden Cmults",2000,0,10,1,"All Ages",0.432405448
"Sudden Cmults",2005,0,8.5,1,"All Ages",0.240960292
"Sudden Cmults",2005,0,9,1,"All Ages",0.212863644
"Sudden Cmults",2005,0,9.5,1,"All Ages",0.186676022
"Sudden Cmults",2005,0,10,1,"All Ages",0.162192892
"Sudden Cmults",2010,0,8.5,1,"All Ages",0.075979714
"Sudden Cmults",2010,0,9,1,"All Ages",0.044023862
"Sudden Cmults",2010,0,9.5,1,"All Ages",0.014444078
"Sudden Cmults",2010,0,10,1,"All Ages",-0.013028268
"Sudden Cmults",2015,0,1.5,1,"All Ages",2.176205366
"Sudden Cmults",2015,0,2,1,"All Ages",2.198655062
"Sudden Cmults",2015,0,2.5,1,"All Ages",2.210504581
"Sudden Cmults",2015,0,3,1,"All Ages",2.210778253
"Sudden Cmults",2015,0,3.5,1,"All Ages",2.198952105
"Sudden Cmults",2015,0,4,1,"All Ages",2.175050772
"Sudden Cmults",2015,0,4.5,1,"All Ages",2.13966506
"Sudden Cmults",2015,0,5,1,"All Ages",2.093886575
"Sudden Cmults",2013,0,1.5,1,"All Ages",2.375593198
"Sudden Cmults",2013,0,2,1,"All Ages",2.513249762
"Sudden Cmults",2013,0,2.5,1,"All Ages",2.527459102
"Sudden Cmults",2013,0,3,1,"All Ages",2.436082019
"Sudden Cmults",2013,0,3.5,1,"All Ages",2.286096275
"Sudden Cmults",2013,0,4,1,"All Ages",2.109079761
"Sudden Cmults",2013,0,4.5,1,"All Ages",1.919921435
"Sudden Cmults",2013,0,5,1,"All Ages",1.71858607
"Sudden Cmults",2013,0,5.5,1,"All Ages",1.535883329
"Sudden Cmults",2013,0,6,1,"All Ages",1.373304921
"Sudden Cmults",2013,0,6.5,1,"All Ages",1.228378379
"Sudden Cmults",2013,0,7,1,"All Ages",1.098346071
"Sudden Cmults",2013,0,7.5,1,"All Ages",0.980955389
"Sudden Cmults",2013,0,8,1,"All Ages",0.874433196
"Sudden Cmults",2013,0,8.5,1,"All Ages",0.777367876
"Sudden Cmults",2013,0,9,1,"All Ages",0.688615084
"Sudden Cmults",2013,0,9.5,1,"All Ages",0.607234076
"Sudden Cmults",2013,0,10,1,"All Ages",0.532441864
"Sudden Cmults",2015,0,5.5,1,"All Ages",2.039179023
"Sudden Cmults",2015,0,6,1,"All Ages",1.977210906
"Sudden Cmults",2015,0,6.5,1,"All Ages",1.909695194
"Sudden Cmults",2015,0,7,1,"All Ages",1.838261382
"Sudden Cmults",2015,0,7.5,1,"All Ages",1.764368933
"Sudden Cmults",2015,0,8,1,"All Ages",1.689264131
"Sudden Cmults",2015,0,8.5,1,"All Ages",1.613969768
"Sudden Cmults",2015,0,9,1,"All Ages",1.539294453
"Sudden Cmults",2015,0,9.5,1,"All Ages",1.465857165
"Sudden Cmults",2015,0,10,1,"All Ages",1.394114765
"Ramp4 Cmults",2005,4,2,1,"All Ages",1.353493705
"Ramp4 Cmults",2005,4,3,1,"All Ages",0.923521342
"Ramp4 Cmults",2005,4,4,1,"All Ages",-0.842964401
"Ramp4 Cmults",2005,4,5,1,"All Ages",0.618391641
"Ramp4 Cmults",2005,4,6,1,"All Ages",0.52771873
"Ramp4 Cmults",2005,4,7,1,"All Ages",0.454558268
"Ramp4 Cmults",2005,4,8,1,"All Ages",0.393266588
"Ramp4 Cmults",2005,4,9,1,"All Ages",0.340656414
"Ramp4 Cmults",2005,4,10,1,"All Ages",0.294711322
"Ramp4 Cmults",2010,4,2,1,"All Ages",1.253522885
"Ramp4 Cmults",2010,4,3,1,"All Ages",0.783752651
"Ramp4 Cmults",2010,4,4,1,"All Ages",0.584835369
"Ramp4 Cmults",2010,4,5,1,"All Ages",0.44611349
"Ramp4 Cmults",2010,4,6,1,"All Ages",0.337879692
"Ramp4 Cmults",2010,4,7,1,"All Ages",0.249513178
"Ramp4 Cmults",2010,4,8,1,"All Ages",0.17546049
"Ramp4 Cmults",2010,4,9,1,"All Ages",0.112266666
"Ramp4 Cmults",2010,4,10,1,"All Ages",0.057582003
"Ramp4 Cmults",2013,4,2,1,"All Ages",1.977175989
"Ramp4 Cmults",2013,4,3,1,"All Ages",1.183738365
"Ramp4 Cmults",2013,4,4,1,"All Ages",0.652062348
"Ramp4 Cmults",2013,4,5,1,"All Ages",0.431183784
"Ramp4 Cmults",2013,4,6,1,"All Ages",0.28717398
"Ramp4 Cmults",2013,4,7,1,"All Ages",0.179023919
"Ramp4 Cmults",2013,4,8,1,"All Ages",0.092976723
"Ramp4 Cmults",2013,4,9,1,"All Ages",0.022195777
"Ramp4 Cmults",2013,4,10,1,"All Ages",-0.037370278
"Ramp4 Cmults",2015,4,2,1,"All Ages",2.524322245
"Ramp4 Cmults",2015,4,3,1,"All Ages",2.19086529
"Ramp4 Cmults",2015,4,4,1,"All Ages",1.732090915
"Ramp4 Cmults",2015,4,5,1,"All Ages",1.28963684
"Ramp4 Cmults",2015,4,6,1,"All Ages",0.930316407
"Ramp4 Cmults",2015,4,7,1,"All Ages",0.669089665
"Ramp4 Cmults",2015,4,8,1,"All Ages",0.462729103
"Ramp4 Cmults",2015,4,9,1,"All Ages",0.296187906
"Ramp4 Cmults",2015,4,10,1,"All Ages",0.138695582
"Sudden Cmults",1995,0,2,1,"All Ages",1.626271165
"Sudden Cmults",1995,0,3,1,"All Ages",1.201205427
"Sudden Cmults",1995,0,4,1,"All Ages",0.992927204
"Sudden Cmults",1995,0,5,1,"All Ages",0.872836348
"Sudden Cmults",1995,0,6,1,"All Ages",0.789371636
"Sudden Cmults",1995,0,7,1,"All Ages",0.725257184
"Sudden Cmults",1995,0,8,1,"All Ages",0.673085231
"Sudden Cmults",1995,0,9,1,"All Ages",0.629067534
"Sudden Cmults",1995,0,10,1,"All Ages",0.591010233
"Sudden Mmults",1995,0,1,1.5,"All Ages",2.758494515
"Sudden Mmults",1995,0,1,2,"All Ages",0.158859216
"Sudden Mmults",1995,0,1,2.5,"All Ages",-0.019664073
"Sudden Mmults",1995,0,1,3,"All Ages",-0.169577529
"Sudden Mmults",1995,0,1,3.5,"All Ages",-0.302803941
"Sudden Mmults",1995,0,1,4,"All Ages",-0.418095755
"Sudden Mmults",1995,0,1,4.5,"All Ages",-0.512339263
"Sudden Mmults",1995,0,1,5,"All Ages",-0.585202261
"Sudden Mmults",1995,0,1,5.5,"All Ages",-0.639036867
"Sudden Mmults",1995,0,1,6,"All Ages",-0.677896486
"Sudden Mmults",1995,0,1,6.5,"All Ages",-0.706690078
"Sudden Mmults",1995,0,1,7,"All Ages",-0.729319906
"Sudden Mmults",1995,0,1,7.5,"All Ages",-0.747639601
"Sudden Mmults",1995,0,1,8,"All Ages",-0.761888396
"Sudden Mmults",1995,0,1,8.5,"All Ages",-0.777411164
"Sudden Mmults",1995,0,1,9,"All Ages",-0.781151474
"Sudden Mmults",1995,0,1,9.5,"All Ages",-0.79019204
"Sudden Mmults",1995,0,1,10,"All Ages",-0.799723243
"Sudden Mmults",2000,0,1,1.5,"All Ages",0.455550919
"Sudden Mmults",2000,0,1,2,"All Ages",0.120629386
"Sudden Mmults",2000,0,1,2.5,"All Ages",-0.08350698
"Sudden Mmults",2000,0,1,3,"All Ages",-0.254093818
"Sudden Mmults",2000,0,1,3.5,"All Ages",-0.399740421
"Sudden Mmults",2000,0,1,4,"All Ages",-0.518631963
"Sudden Mmults",2000,0,1,4.5,"All Ages",-0.609773913
"Sudden Mmults",2000,0,1,5,"All Ages",-0.676162012
"Sudden Mmults",2000,0,1,5.5,"All Ages",-0.723089294
"Sudden Mmults",2000,0,1,6,"All Ages",-0.756475511
"Sudden Mmults",2000,0,1,6.5,"All Ages",-0.776119094
"Sudden Mmults",2000,0,1,7,"All Ages",-0.800178848
"Sudden Mmults",2000,0,1,7.5,"All Ages",-0.814691543
"Sudden Mmults",2000,0,1,8,"All Ages",-0.826504675
"Sudden Mmults",2000,0,1,8.5,"All Ages",-0.837691775
"Sudden Mmults",2000,0,1,9,"All Ages",-0.848943724
"Sudden Mmults",2000,0,1,9.5,"All Ages",-0.860106267
"Sudden Mmults",2000,0,1,10,"All Ages",-0.870931693
"Sudden Mmults",2005,0,1,1.5,"All Ages",0.475291312
"Sudden Mmults",2005,0,1,2,"All Ages",0.10584385
"Sudden Mmults",2005,0,1,2.5,"All Ages",-0.132784361
"Sudden Mmults",2005,0,1,3,"All Ages",-0.328494839
"Sudden Mmults",2005,0,1,3.5,"All Ages",-0.486126428
"Sudden Mmults",2005,0,1,4,"All Ages",-0.60522611
"Sudden Mmults",2005,0,1,4.5,"All Ages",-0.689892403
"Sudden Mmults",2005,0,1,5,"All Ages",-0.748043437
"Sudden Mmults",2005,0,1,5.5,"All Ages",-0.787683507
"Sudden Mmults",2005,0,1,6,"All Ages",-0.815288523
"Sudden Mmults",2005,0,1,6.5,"All Ages",-0.835022624
"Sudden Mmults",2005,0,1,7,"All Ages",-0.849676262
"Sudden Mmults",2005,0,1,7.5,"All Ages",-0.862165616
"Sudden Mmults",2005,0,1,8,"All Ages",-0.874319732
"Sudden Mmults",2005,0,1,8.5,"All Ages",-0.886217761
"Sudden Mmults",2005,0,1,9,"All Ages",-0.897502125
"Sudden Mmults",2005,0,1,9.5,"All Ages",-0.907902671
"Sudden Mmults",2005,0,1,10,"All Ages",-0.917860464
"Sudden Mmults",2010,0,1,1.5,"All Ages",0.539442769
"Sudden Mmults",2010,0,1,2,"All Ages",0.122745404
"Sudden Mmults",2010,0,1,2.5,"All Ages",-0.122432645
"Sudden Mmults",2010,0,1,3,"All Ages",-0.328829683
"Sudden Mmults",2010,0,1,3.5,"All Ages",-0.508525343
"Sudden Mmults",2010,0,1,4,"All Ages",-0.647821648
"Sudden Mmults",2010,0,1,4.5,"All Ages",-0.741592734
"Sudden Mmults",2010,0,1,5,"All Ages",-0.800010726
"Sudden Mmults",2010,0,1,5.5,"All Ages",-0.836173977
"Sudden Mmults",2010,0,1,6,"All Ages",-0.859537357
"Sudden Mmults",2010,0,1,6.5,"All Ages",-0.875892832
"Sudden Mmults",2010,0,1,7,"All Ages",-0.889404921
"Sudden Mmults",2010,0,1,7.5,"All Ages",-0.901438007
"Sudden Mmults",2010,0,1,8,"All Ages",-0.912482159
"Sudden Mmults",2010,0,1,8.5,"All Ages",-0.922516995
"Sudden Mmults",2010,0,1,9,"All Ages",-0.931293307
"Sudden Mmults",2010,0,1,9.5,"All Ages",-0.938414675
"Sudden Mmults",2010,0,1,10,"All Ages",-0.914493253
"Sudden Mmults",2013,0,1,1.5,"All Ages",0.873765997
"Sudden Mmults",2013,0,1,2,"All Ages",0.359010889
"Sudden Mmults",2013,0,1,2.5,"All Ages",0.070959516
"Sudden Mmults",2013,0,1,3,"All Ages",-0.135357058
"Sudden Mmults",2013,0,1,3.5,"All Ages",-0.31428391
"Sudden Mmults",2013,0,1,4,"All Ages",-0.476674127
"Sudden Mmults",2013,0,1,4.5,"All Ages",-0.613772005
"Sudden Mmults",2013,0,1,5,"All Ages",-0.71535333
"Sudden Mmults",2013,0,1,5.5,"All Ages",-0.783221408
"Sudden Mmults",2013,0,1,6,"All Ages",-0.827774274
"Sudden Mmults",2013,0,1,6.5,"All Ages",-0.856675175
"Sudden Mmults",2013,0,1,7,"All Ages",-0.875838824
"Sudden Mmults",2013,0,1,7.5,"All Ages",-0.887771378
"Sudden Mmults",2013,0,1,8,"All Ages",-0.892625808
"Sudden Mmults",2013,0,1,8.5,"All Ages",-0.897703605
"Sudden Mmults",2013,0,1,9,"All Ages",-0.903634197
"Sudden Mmults",2013,0,1,9.5,"All Ages",-0.908875743
"Sudden Mmults",2013,0,1,10,"All Ages",-0.910585342
"Sudden Mmults",2015,0,1,1.5,"All Ages",1.500846137
"Sudden Mmults",2015,0,1,2,"All Ages",1.023867737
"Sudden Mmults",2015,0,1,2.5,"All Ages",0.678508398
"Sudden Mmults",2015,0,1,3,"All Ages",0.419290317
"Sudden Mmults",2015,0,1,3.5,"All Ages",0.210547316
"Sudden Mmults",2015,0,1,4,"All Ages",0.029495691
"Sudden Mmults",2015,0,1,4.5,"All Ages",-0.136491786
"Sudden Mmults",2015,0,1,5,"All Ages",-0.291160824
"Sudden Mmults",2015,0,1,5.5,"All Ages",-0.430372805
"Sudden Mmults",2015,0,1,6,"All Ages",-0.546712663
"Sudden Mmults",2015,0,1,6.5,"All Ages",-0.636203944
"Sudden Mmults",2015,0,1,7,"All Ages",-0.700925094
"Sudden Mmults",2015,0,1,7.5,"All Ages",-0.746157608
"Sudden Mmults",2015,0,1,8,"All Ages",-0.777829293
"Sudden Mmults",2015,0,1,8.5,"All Ages",-0.799671212
"Sudden Mmults",2015,0,1,9,"All Ages",-0.812327964
"Sudden Mmults",2015,0,1,9.5,"All Ages",-0.815548436
"Sudden Mmults",2015,0,1,10,"All Ages",-0.814298691
"Sudden Mmults",1995,0,1,2.1,"All Ages",0.119236025
"Sudden Mmults",1995,0,1,2.2,"All Ages",0.08206648
"Sudden Mmults",1995,0,1,2.3,"All Ages",0.046770974
"Sudden Mmults",1995,0,1,2.4,"All Ages",0.012976029
"Sudden Mmults",2000,0,1,2.1,"All Ages",0.075616187
"Sudden Mmults",2000,0,1,2.2,"All Ages",0.033268936
"Sudden Mmults",2000,0,1,2.3,"All Ages",-0.007159621
"Sudden Mmults",2000,0,1,2.4,"All Ages",-0.04596183
"Sudden Mmults",2005,0,1,2.1,"All Ages",0.05339647
"Sudden Mmults",2005,0,1,2.2,"All Ages",0.003792029
"Sudden Mmults",2005,0,1,2.3,"All Ages",-0.043562056
"Sudden Mmults",2005,0,1,2.4,"All Ages",-0.088848583
"Sudden Mmults",2010,0,1,2.1,"All Ages",0.068052203
"Sudden Mmults",2010,0,1,2.2,"All Ages",0.016949701
"Sudden Mmults",2010,0,1,2.3,"All Ages",-0.031439327
"Sudden Mmults",2010,0,1,2.4,"All Ages",-0.07774843
"Sudden Mmults",2013,0,1,2.6,"All Ages",0.026002452
"Sudden Mmults",2013,0,1,2.7,"All Ages",-0.016734276
"Sudden Mmults",2013,0,1,2.8,"All Ages",-0.057662478
"Sudden Mmults",2013,0,1,2.9,"All Ages",-0.097113815
"Sudden Mmults",2015,0,1,4.1,"All Ages",-0.00466067
"Sudden Mmults",2015,0,1,4.2,"All Ages",-0.038300787
"Sudden Mmults",2015,0,1,4.3,"All Ages",-0.071468462
"Sudden Mmults",2015,0,1,4.4,"All Ages",-0.104193653
"Ramp4 Mmults",1995,4,1,1.5,"All Ages",0.468931805
"Ramp4 Mmults",1995,4,1,2,"All Ages",0.169776561
"Ramp4 Mmults",1995,4,1,2.5,"All Ages",-0.000568356
"Ramp4 Mmults",1995,4,1,3,"All Ages",-0.142646379
"Ramp4 Mmults",1995,4,1,3.5,"All Ages",-0.27009062
"Ramp4 Mmults",1995,4,1,4,"All Ages",-0.382538108
"Ramp4 Mmults",1995,4,1,4.5,"All Ages",-0.476677045
"Ramp4 Mmults",1995,4,1,5,"All Ages",-0.551304232
"Ramp4 Mmults",1995,4,1,5.5,"All Ages",-0.607730151
"Ramp4 Mmults",1995,4,1,6,"All Ages",-0.64896003
"Ramp4 Mmults",1995,4,1,6.5,"All Ages",-0.67932289
"Ramp4 Mmults",1995,4,1,7,"All Ages",-0.703001461
"Ramp4 Mmults",1995,4,1,7.5,"All Ages",-0.722435346
"Ramp4 Mmults",1995,4,1,8,"All Ages",-0.738173931
"Ramp4 Mmults",1995,4,1,8.5,"All Ages",-0.749622055
"Ramp4 Mmults",1995,4,1,9,"All Ages",-0.757578477
"Ramp4 Mmults",1995,4,1,9.5,"All Ages",-0.764870126
"Ramp4 Mmults",1995,4,1,10,"All Ages",-0.772853216
"Ramp4 Mmults",2000,4,1,1.5,"All Ages",0.456918178
"Ramp4 Mmults",2000,4,1,2,"All Ages",0.134883915
"Ramp4 Mmults",2000,4,1,2.5,"All Ages",-0.057942657
"Ramp4 Mmults",2000,4,1,3,"All Ages",-0.220046021
"Ramp4 Mmults",2000,4,1,3.5,"All Ages",-0.361143009
"Ramp4 Mmults",2000,4,1,4,"All Ages",-0.479281276
"Ramp4 Mmults",2000,4,1,4.5,"All Ages",-0.572287556
"Ramp4 Mmults",2000,4,1,5,"All Ages",-0.641645173
"Ramp4 Mmults",2000,4,1,5.5,"All Ages",-0.691470927
"Ramp4 Mmults",2000,4,1,6,"All Ages",-0.727097819
"Ramp4 Mmults",2000,4,1,6.5,"All Ages",-0.753617923
"Ramp4 Mmults",2000,4,1,7,"All Ages",-0.774245839
"Ramp4 Mmults",2000,4,1,7.5,"All Ages",-0.790314069
"Ramp4 Mmults",2000,4,1,8,"All Ages",-0.802677201
"Ramp4 Mmults",2000,4,1,8.5,"All Ages",-0.813358203
"Ramp4 Mmults",2000,4,1,9,"All Ages",-0.82404121
"Ramp4 Mmults",2000,4,1,9.5,"All Ages",-0.834992576
"Ramp4 Mmults",2000,4,1,10,"All Ages",-0.846013239
"Ramp4 Mmults",2005,4,1,1.5,"All Ages",0.465008158
"Ramp4 Mmults",2005,4,1,2,"All Ages",0.108303005
"Ramp4 Mmults",2005,4,1,2.5,"All Ages",-0.117575035
"Ramp4 Mmults",2005,4,1,3,"All Ages",-0.303579305
"Ramp4 Mmults",2005,4,1,3.5,"All Ages",-0.456577001
"Ramp4 Mmults",2005,4,1,4,"All Ages",-0.575838453
"Ramp4 Mmults",2005,4,1,4.5,"All Ages",-0.663298237
"Ramp4 Mmults",2005,4,1,5,"All Ages",-0.724807046
"Ramp4 Mmults",2005,4,1,5.5,"All Ages",-0.7673367
"Ramp4 Mmults",2005,4,1,6,"All Ages",-0.797264873
"Ramp4 Mmults",2005,4,1,6.5,"All Ages",-0.819061625
"Ramp4 Mmults",2005,4,1,7,"All Ages",-0.835313329
"Ramp4 Mmults",2005,4,1,7.5,"All Ages",-0.848277476
"Ramp4 Mmults",2005,4,1,8,"All Ages",-0.710826595
"Ramp4 Mmults",2005,4,1,8.5,"All Ages",-0.872093745
"Ramp4 Mmults",2005,4,1,9,"All Ages",-0.494173855
"Ramp4 Mmults",2005,4,1,9.5,"All Ages",-0.894446366
"Ramp4 Mmults",2005,4,1,10,"All Ages",-0.90448228
"Ramp4 Mmults",2010,4,1,1.5,"All Ages",0.498716581
"Ramp4 Mmults",2010,4,1,2,"All Ages",0.107376251
"Ramp4 Mmults",2010,4,1,2.5,"All Ages",-0.13781385
"Ramp4 Mmults",2010,4,1,3,"All Ages",-0.344005474
"Ramp4 Mmults",2010,4,1,3.5,"All Ages",-0.516145168
"Ramp4 Mmults",2010,4,1,4,"All Ages",-0.643190989
"Ramp4 Mmults",2010,4,1,4.5,"All Ages",-0.727905202
"Ramp4 Mmults",2010,4,1,5,"All Ages",-0.782427041
"Ramp4 Mmults",2010,4,1,5.5,"All Ages",-0.77723379
"Ramp4 Mmults",2010,4,1,6,"All Ages",-0.842563741
"Ramp4 Mmults",2010,4,1,6.5,"All Ages",-0.860075473
"Ramp4 Mmults",2010,4,1,7,"All Ages",-0.873721849
"Ramp4 Mmults",2010,4,1,7.5,"All Ages",-0.886302891
"Ramp4 Mmults",2010,4,1,8,"All Ages",-0.898383081
"Ramp4 Mmults",2010,4,1,8.5,"All Ages",-0.909719774
"Ramp4 Mmults",2010,4,1,9,"All Ages",-0.920112414
"Ramp4 Mmults",2010,4,1,9.5,"All Ages",-0.929363753
"Ramp4 Mmults",2010,4,1,10,"All Ages",-0.937356377
"Ramp4 Mmults",2013,4,1,1.5,"All Ages",0.621443499
"Ramp4 Mmults",2013,4,1,2,"All Ages",0.175716399
"Ramp4 Mmults",2013,4,1,2.5,"All Ages",-0.071319704
"Ramp4 Mmults",2013,4,1,3,"All Ages",-0.273226794
"Ramp4 Mmults",2013,4,1,3.5,"All Ages",-0.454694026
"Ramp4 Mmults",2013,4,1,4,"All Ages",-0.607151544
"Ramp4 Mmults",2013,4,1,4.5,"All Ages",-0.71793971
"Ramp4 Mmults",2013,4,1,5,"All Ages",-0.789555571
"Ramp4 Mmults",2013,4,1,5.5,"All Ages",-0.823758082
"Ramp4 Mmults",2013,4,1,6,"All Ages",-0.861618926
"Ramp4 Mmults",2013,4,1,6.5,"All Ages",-0.880442269
"Ramp4 Mmults",2013,4,1,7,"All Ages",-0.894941621
"Ramp4 Mmults",2013,4,1,7.5,"All Ages",-0.90689911
"Ramp4 Mmults",2013,4,1,8,"All Ages",-0.9174152
"Ramp4 Mmults",2013,4,1,8.5,"All Ages",-0.926570239
"Ramp4 Mmults",2013,4,1,9,"All Ages",-0.933789277
"Ramp4 Mmults",2013,4,1,9.5,"All Ages",-0.913260286
"Ramp4 Mmults",2013,4,1,10,"All Ages",-0.916484102
"Ramp4 Mmults",2015,4,1,1.5,"All Ages",0.881029955
"Ramp4 Mmults",2015,4,1,2,"All Ages",0.381171727
"Ramp4 Mmults",2015,4,1,2.5,"All Ages",0.099416603
"Ramp4 Mmults",2015,4,1,3,"All Ages",-0.099988465
"Ramp4 Mmults",2015,4,1,3.5,"All Ages",-0.273581801
"Ramp4 Mmults",2015,4,1,4,"All Ages",-0.434417274
"Ramp4 Mmults",2015,4,1,4.5,"All Ages",-0.576126959
"Ramp4 Mmults",2015,4,1,5,"All Ages",-0.686668421
"Ramp4 Mmults",2015,4,1,5.5,"All Ages",-0.763660224
"Ramp4 Mmults",2015,4,1,6,"All Ages",-0.814302141
"Ramp4 Mmults",2015,4,1,6.5,"All Ages",-0.848438666
"Ramp4 Mmults",2015,4,1,7,"All Ages",-0.871240632
"Ramp4 Mmults",2015,4,1,7.5,"All Ages",-0.886733927
"Ramp4 Mmults",2015,4,1,8,"All Ages",-0.894412527
"Ramp4 Mmults",2015,4,1,8.5,"All Ages",-0.897872898
"Ramp4 Mmults",2015,4,1,9,"All Ages",-0.90320797
"Ramp4 Mmults",2015,4,1,9.5,"All Ages",-0.908749514
"Ramp4 Mmults",2015,4,1,10,"All Ages",-0.952757072
"Ramp4 Mmults",2000,4,1,2.1,"All Ages",0.09229832
"Ramp4 Mmults",2000,4,1,2.2,"All Ages",0.052259504
"Ramp4 Mmults",2000,4,1,2.3,"All Ages",0.014100036
"Ramp4 Mmults",2000,4,1,2.4,"All Ages",-0.022514661
"Ramp4 Mmults",2005,4,1,2.1,"All Ages",0.058568501
"Ramp4 Mmults",2005,4,1,2.2,"All Ages",0.011674544
"Ramp4 Mmults",2005,4,1,2.3,"All Ages",-0.033117443
"Ramp4 Mmults",2005,4,1,2.4,"All Ages",-0.076031862
"Ramp4 Mmults",2010,4,1,2.1,"All Ages",0.053168358
"Ramp4 Mmults",2010,4,1,2.2,"All Ages",0.002148287
"Ramp4 Mmults",2010,4,1,2.3,"All Ages",-0.046330172
"Ramp4 Mmults",2010,4,1,2.4,"All Ages",-0.092818145
"Ramp4 Mmults",2013,4,1,2.1,"All Ages",0.119174526
"Ramp4 Mmults",2013,4,1,2.2,"All Ages",0.067278548
"Ramp4 Mmults",2013,4,1,2.3,"All Ages",0.018707093
"Ramp4 Mmults",2013,4,1,2.4,"All Ages",-0.027301374
"Ramp4 Mmults",2015,4,1,2.6,"All Ages",0.055959092
"Ramp4 Mmults",2015,4,1,2.7,"All Ages",0.014655627
"Ramp4 Mmults",2015,4,1,2.8,"All Ages",-0.024895743
"Ramp4 Mmults",2015,4,1,2.9,"All Ages",-0.063021738
"Ramp9 Mmults",1995,9,1,1.5,"All Ages",0.468905597
"Ramp9 Mmults",1995,9,1,2,"All Ages",0.176682409
"Ramp9 Mmults",1995,9,1,2.5,"All Ages",0.0167385
"Ramp9 Mmults",1995,9,1,3,"All Ages",-0.114401148
"Ramp9 Mmults",1995,9,1,3.5,"All Ages",-0.232701476
"Ramp9 Mmults",1995,9,1,4,"All Ages",-0.339552737
"Ramp9 Mmults",1995,9,1,4.5,"All Ages",0.361290747
"Ramp9 Mmults",1995,9,1,5,"All Ages",-0.508008845
"Ramp9 Mmults",2000,9,1,1.5,"All Ages",0.462135078
"Ramp9 Mmults",2000,9,1,2,"All Ages",0.150847664
"Ramp9 Mmults",2000,9,1,2.5,"All Ages",-0.031165532
"Ramp9 Mmults",2000,9,1,3,"All Ages",-0.183758222
"Ramp9 Mmults",2000,9,1,3.5,"All Ages",-0.31861962
"Ramp9 Mmults",2000,9,1,4,"All Ages",-0.434548953
"Ramp9 Mmults",2000,9,1,4.5,"All Ages",-0.528733785
"Ramp9 Mmults",2000,9,1,5,"All Ages",-0.3981592
"Ramp9 Mmults",2005,9,1,1.5,"All Ages",0.459928889
"Ramp9 Mmults",2005,9,1,2,"All Ages",0.11872157
"Ramp9 Mmults",2005,9,1,2.5,"All Ages",-0.090195098
"Ramp9 Mmults",2005,9,1,3,"All Ages",-0.264120207
